bin start	sense overlap	antisense overlap	total overlap
-3000	220883	217227	438110
-2900	208394	199531	407925
-2800	215123	202846	417969
-2700	212428	223170	435598
-2600	201997	200312	402309
-2500	213054	225098	438152
-2400	230087	216360	446447
-2300	224200	222835	447035
-2200	236826	219154	455980
-2100	244033	226735	470768
-2000	241191	229514	470705
-1900	247628	244452	492080
-1800	257275	243734	501009
-1700	282316	251122	533438
-1600	315943	268653	584596
-1500	308653	277365	586018
-1400	328671	276958	605629
-1300	312543	289769	602312
-1200	298269	276613	574882
-1100	335612	291841	627453
-1000	337329	306127	643456
-900	338171	319382	657553
-800	597170	366043	963213
-700	458456	380186	838642
-600	447922	402279	850201
-500	452629	430609	883238
-400	496648	431811	928459
-300	481718	364885	846603
-200	333347	252090	585437
-100	150703	85095	235798
0	61199	29719	90918
100	52296	24320	76616
200	57168	25630	82798
300	75722	36759	112481
400	89873	30453	120326
500	91511	36485	127996
600	102934	48749	151683
700	109382	46375	155757
800	141361	53856	195217
900	114625	55016	169641
1000	120963	58111	179074
1100	126604	58366	184970
1200	107437	59130	166567
1300	134563	65267	199830
1400	109179	72182	181361
1500	182783	67742	250525
1600	162055	75697	237752
1700	174826	79607	254433
1800	258917	72171	331088
1900	162287	72399	234686
