bin start	sense overlap	antisense overlap	total overlap
-1999	88399	64804	153203
-1899	97670	60802	158472
-1799	80911	61129	142040
-1699	73005	61269	134274
-1599	102689	62374	165063
-1499	85511	63631	149142
-1399	104660	57538	162198
-1299	89886	50788	140674
-1199	110142	61272	171414
-1099	82882	53065	135947
-999	62903	41944	104847
-899	96335	40203	136538
-799	86800	35058	121858
-699	71034	34667	105701
-599	76310	32687	108997
-499	75793	31289	107082
-399	54167	28498	82665
-299	69397	30101	99498
-199	67111	34548	101659
-99	64905	39929	104834
1	187481	86612	274093
101	253586	123927	377513
201	181486	157336	338822
301	179083	179627	358710
401	203226	208062	411288
501	275276	224998	500274
601	271267	229708	500975
701	250024	209045	459069
801	239380	212544	451924
901	235551	222687	458238
1001	219050	206976	426026
1101	206337	211591	417928
1201	208918	177112	386030
1301	214685	190492	405177
1401	211670	183001	394671
1501	213099	186250	399349
1601	205852	189953	395805
1701	211820	168113	379933
1801	186980	175811	362791
1901	175902	165096	340998
2001	205846	180247	386093
2101	180204	163277	343481
2201	188686	171445	360131
2301	188861	169919	358780
2401	205191	167246	372437
2501	205392	160605	365997
2601	210970	160658	371628
2701	204689	162397	367086
2801	165467	168974	334441
2901	228189	152438	380627
