bin start	sense overlap	antisense overlap	total overlap
-1999	9776	5340	15116
-1899	11377	7844	19221
-1799	7830	5564	13394
-1699	7376	4500	11876
-1599	8873	6041	14914
-1499	9549	4542	14091
-1399	40537	4850	45387
-1299	7269	4196	11465
-1199	10809	6391	17200
-1099	10924	6154	17078
-999	14530	4344	18874
-899	19206	4672	23878
-799	18112	3747	21859
-699	22650	3555	26205
-599	25020	3802	28822
-499	10098	6097	16195
-399	11331	8788	20119
-299	16587	6828	23415
-199	15649	7783	23432
-99	7900	5704	13604
1	25825	9831	35656
101	26222	12872	39094
201	17429	15833	33262
301	16189	16517	32706
401	24659	20172	44831
501	22540	20071	42611
601	20912	22140	43052
701	25228	22261	47489
801	34268	31506	65774
901	34286	26457	60743
1001	24005	17739	41744
1101	23653	28948	52601
1201	55517	23833	79350
1301	24697	23141	47838
1401	22940	16360	39300
1501	20457	17938	38395
1601	21395	17846	39241
1701	29629	15068	44697
1801	19449	15079	34528
1901	19599	17107	36706
2001	21888	18339	40227
2101	19083	18622	37705
2201	18399	17028	35427
2301	20759	22925	43684
2401	41475	24044	65519
2501	45882	21841	67723
2601	23975	23100	47075
2701	25944	25088	51032
2801	24367	25516	49883
2901	25474	22633	48107
