bin start	sense overlap	antisense overlap	total overlap
-3000	23054	19410	42464
-2900	15020	17134	32154
-2800	20726	18025	38751
-2700	21198	17990	39188
-2600	24363	21131	45494
-2500	18904	16858	35762
-2400	18811	18852	37663
-2300	23326	21211	44537
-2200	18801	20485	39286
-2100	20500	19465	39965
-2000	24153	18301	42454
-1900	23647	21067	44714
-1800	25308	23179	48487
-1700	43987	20927	64914
-1600	36900	19906	56806
-1500	24940	23526	48466
-1400	21083	21827	42910
-1300	22359	18003	40362
-1200	24872	18010	42882
-1100	25451	17777	43228
-1000	18796	18973	37769
-900	20462	18233	38695
-800	36681	20149	56830
-700	25838	22294	48132
-600	24261	24800	49061
-500	24743	25982	50725
-400	29904	25060	54964
-300	32498	24694	57192
-200	31034	20169	51203
-100	13533	6839	20372
0	13229	2541	15770
100	3771	2275	6046
200	12456	1877	14333
300	29697	3529	33226
400	8708	3781	12489
500	7018	4957	11975
600	6746	4780	11526
700	22210	6132	28342
800	17527	6446	23973
900	16406	4778	21184
1000	7545	4659	12204
1100	8129	4284	12413
1200	11351	4197	15548
1300	13936	9343	23279
1400	13269	9766	23035
1500	44643	6390	51033
1600	8661	8523	17184
1700	13790	6058	19848
1800	26143	6221	32364
1900	19575	6222	25797
