bin start	sense overlap	antisense overlap	total overlap
-1999	15167	12837	28004
-1899	30827	15594	46421
-1799	15629	11015	26644
-1699	10380	7777	18157
-1599	12636	10743	23379
-1499	22754	8791	31545
-1399	81729	8701	90430
-1299	11975	9292	21267
-1199	19583	12611	32194
-1099	26081	18460	44541
-999	30873	13568	44441
-899	31787	12748	44535
-799	61043	7720	68763
-699	66893	10685	77578
-599	71528	10214	81742
-499	32081	23803	55884
-399	32216	35113	67329
-299	34195	28530	62725
-199	39896	26446	66342
-99	20212	13498	33710
1	66843	22976	89819
101	60841	35667	96508
201	43185	37860	81045
301	36174	36992	73166
401	62970	50342	113312
501	59974	50704	110678
601	49694	49465	99159
701	77244	58959	136203
801	121953	140945	262898
901	95048	92475	187523
1001	72359	44779	117138
1101	86007	100113	186120
1201	158504	78081	236585
1301	72685	62177	134862
1401	56144	41986	98130
1501	51782	37266	89048
1601	49708	44367	94075
1701	59636	35136	94772
1801	41815	31161	72976
1901	54032	36662	90694
2001	62511	40633	103144
2101	38812	49089	87901
2201	46398	41552	87950
2301	45804	68250	114054
2401	117315	87481	204796
2501	137707	49968	187675
2601	78180	66490	144670
2701	84481	101784	186265
2801	75369	106280	181649
2901	78190	90465	168655
