bin start	sense overlap	antisense overlap	total overlap
-3000	117669	95997	213666
-2900	106581	123155	229736
-2800	96321	159706	256027
-2700	93197	129082	222279
-2600	80820	102518	183338
-2500	106005	87998	194003
-2400	121690	147750	269440
-2300	95379	107168	202547
-2200	111495	108743	220238
-2100	109496	101196	210692
-2000	97067	74968	172035
-1900	93769	86250	180019
-1800	113823	117216	231039
-1700	101421	77324	178745
-1600	94602	96003	190605
-1500	96859	84702	181561
-1400	100697	72177	172874
-1300	109405	88687	198092
-1200	82981	81236	164217
-1100	101382	94684	196066
-1000	91466	98477	189943
-900	79444	85596	165040
-800	104603	140538	245141
-700	97241	125472	222713
-600	94835	126662	221497
-500	91507	140862	232369
-400	96070	111667	207737
-300	77906	80549	158455
-200	46089	62253	108342
-100	49912	42657	92569
0	94877	65761	160638
100	131714	76412	208126
200	93464	35236	128700
300	114718	39500	154218
400	83352	31018	114370
500	81673	19405	101078
600	45849	37058	82907
700	93274	46066	139340
800	86910	127086	213996
900	39289	28622	67911
1000	52315	14947	67262
1100	54181	58967	113148
1200	55045	22865	77910
1300	66546	17165	83711
1400	73390	45306	118696
1500	58319	30408	88727
1600	68415	30392	98807
1700	39424	47897	87321
1800	50578	32438	83016
1900	39797	20737	60534
