bin start	sense overlap	antisense overlap	total overlap
-1999	10672	6463	17135
-1899	9774	5941	15715
-1799	8846	5052	13898
-1699	9220	4362	13582
-1599	20152	4800	24952
-1499	10883	4771	15654
-1399	8541	4430	12971
-1299	10270	3622	13892
-1199	6845	4889	11734
-1099	7403	6321	13724
-999	9791	3939	13730
-899	10145	3899	14044
-799	9286	4837	14123
-699	11469	3582	15051
-599	6346	4753	11099
-499	6999	5597	12596
-399	9340	4800	14140
-299	7622	4947	12569
-199	7036	4850	11886
-99	6835	3183	10018
1	15815	5351	21166
101	12346	7556	19902
201	9627	9448	19075
301	20311	11179	31490
401	24502	14055	38557
501	24535	14592	39127
601	17902	17577	35479
701	21713	17424	39137
801	25019	20460	45479
901	24927	18280	43207
1001	19040	23952	42992
1101	23335	20122	43457
1201	30064	20212	50276
1301	21824	20923	42747
1401	19684	19030	38714
1501	18708	19429	38137
1601	20121	18554	38675
1701	21702	17292	38994
1801	22728	17454	40182
1901	20328	17524	37852
2001	25318	18047	43365
2101	18786	16234	35020
2201	20153	19991	40144
2301	18732	19732	38464
2401	23632	18723	42355
2501	24442	18816	43258
2601	20287	18626	38913
2701	22162	19661	41823
2801	21812	20409	42221
2901	24855	20500	45355
