bin start	sense overlap	antisense overlap	total overlap
-3000	25295	25318	50613
-2900	24717	27291	52008
-2800	23735	26095	49830
-2700	22354	26756	49110
-2600	21757	28436	50193
-2500	24603	24052	48655
-2400	30390	21986	52376
-2300	25922	20474	46396
-2200	23332	23784	47116
-2100	21091	22281	43372
-2000	24540	21622	46162
-1900	32967	25394	58361
-1800	25297	25872	51169
-1700	29922	25169	55091
-1600	21271	23885	45156
-1500	23909	25608	49517
-1400	22509	21777	44286
-1300	23085	23735	46820
-1200	28547	23197	51744
-1100	25952	25114	51066
-1000	24430	23086	47516
-900	22486	22900	45386
-800	24112	21642	45754
-700	24061	23424	47485
-600	22008	21965	43973
-500	18101	19395	37496
-400	17630	21965	39595
-300	15424	11847	27271
-200	11092	12048	23140
-100	5865	5024	10889
0	9827	4214	14041
100	10165	3448	13613
200	7298	3625	10923
300	6917	4034	10951
400	7615	4002	11617
500	6487	3939	10426
600	9004	10884	19888
700	11335	4675	16010
800	11030	4284	15314
900	11453	4270	15723
1000	10495	3726	14221
1100	11032	4887	15919
1200	13284	3994	17278
1300	21065	4600	25665
1400	34445	7657	42102
1500	12776	7153	19929
1600	14655	6522	21177
1700	9280	6648	15928
1800	20884	6156	27040
1900	20069	5135	25204
