bin start	sense overlap	antisense overlap	total overlap
-1999	130205	46270	176475
-1899	134187	49295	183482
-1799	106662	47021	153683
-1699	159212	47804	207016
-1599	163122	51076	214198
-1499	159570	57770	217340
-1399	219365	47944	267309
-1299	97649	58007	155656
-1199	116917	46180	163097
-1099	103784	42672	146456
-999	149206	29860	179066
-899	215113	32489	247602
-799	173065	32754	205819
-699	263708	24461	288169
-599	147857	26680	174537
-499	179664	23431	203095
-399	123750	19042	142792
-299	255869	26929	282798
-199	232207	23918	256125
-99	99813	30304	130117
1	2757950	62122	2820072
101	206654	84396	291050
201	177652	126009	303661
301	153777	141820	295597
401	169235	170682	339917
501	202566	172210	374776
601	208232	177232	385464
701	264778	201762	466540
801	257326	190627	447953
901	284822	165342	450164
1001	258289	154865	413154
1101	205157	159977	365134
1201	194967	136721	331688
1301	304191	153853	458044
1401	261947	166069	428016
1501	252912	164308	417220
1601	222850	157331	380181
1701	222754	143536	366290
1801	201856	142339	344195
1901	226466	140712	367178
2001	245839	134815	380654
2101	193187	131442	324629
2201	240045	139497	379542
2301	204900	142778	347678
2401	286886	131595	418481
2501	189586	136741	326327
2601	201398	142579	343977
2701	187442	152228	339670
2801	195439	127647	323086
2901	334973	132534	467507
