bin start	sense overlap	antisense overlap	total overlap
-3000	188498	164918	353416
-2900	168632	158934	327566
-2800	181567	164414	345981
-2700	175021	171595	346616
-2600	162857	161103	323960
-2500	175663	188155	363818
-2400	193241	164420	357661
-2300	187872	181794	369666
-2200	167786	173819	341605
-2100	177639	167643	345282
-2000	192055	183146	375201
-1900	199576	182455	382031
-1800	200853	188429	389282
-1700	293918	197457	491375
-1600	251535	199394	450929
-1500	252312	198220	450532
-1400	252770	204089	456859
-1300	228149	203210	431359
-1200	298430	189463	487893
-1100	324030	188788	512818
-1000	242026	203148	445174
-900	230235	222539	452774
-800	381158	247294	628452
-700	316601	331893	648494
-600	305060	279283	584343
-500	309658	283257	592915
-400	402909	332432	735341
-300	467753	352488	820241
-200	502506	333874	836380
-100	242717	124119	366836
0	109218	31368	140586
100	166570	19292	185862
200	72996	22109	95105
300	84976	23264	108240
400	208577	29588	238165
500	199980	26235	226215
600	122681	30567	153248
700	150381	37135	187516
800	141699	41180	182879
900	140735	41282	182017
1000	148234	49555	197789
1100	130504	42622	173126
1200	173433	48065	221498
1300	208793	39759	248552
1400	120166	44661	164827
1500	233948	40568	274516
1600	119666	45575	165241
1700	124172	48575	172747
1800	253128	51253	304381
1900	199830	49523	249353
