bin start	sense overlap	antisense overlap	total overlap
-1999	199411	56965	256376
-1899	194709	64561	259270
-1799	148822	63484	212306
-1699	212004	54830	266834
-1599	192034	65763	257797
-1499	218433	73476	291909
-1399	292525	60737	353262
-1299	140384	71214	211598
-1199	177050	58003	235053
-1099	140189	52077	192266
-999	208104	34910	243014
-899	295907	41193	337100
-799	262545	39622	302167
-699	337107	30961	368068
-599	246967	34057	281024
-499	301023	29352	330375
-399	190425	25413	215838
-299	371404	33800	405204
-199	349284	29557	378841
-99	144828	40457	185285
1	4256871	83773	4340644
101	439263	120399	559662
201	253828	167683	421511
301	200972	190838	391810
401	215456	226678	442134
501	286338	222049	508387
601	275395	231508	506903
701	359261	234561	593822
801	363875	236901	600776
901	407525	217755	625280
1001	362157	199649	561806
1101	289999	213174	503173
1201	277833	179249	457082
1301	432149	216766	648915
1401	378437	212513	590950
1501	337948	208691	546639
1601	299864	197695	497559
1701	316747	176596	493343
1801	295532	174678	470210
1901	294898	184312	479210
2001	309259	176796	486055
2101	250987	167466	418453
2201	306070	185410	491480
2301	264724	181569	446293
2401	376026	164957	540983
2501	251745	175886	427631
2601	277184	170927	448111
2701	239642	191009	430651
2801	265991	161391	427382
2901	440574	159266	599840
