bin start	sense overlap	antisense overlap	total overlap
-3000	193750	187943	381693
-2900	190914	189240	380154
-2800	219465	196547	416012
-2700	196013	201272	397285
-2600	184391	180324	364715
-2500	212996	224809	437805
-2400	215770	191946	407716
-2300	217568	216551	434119
-2200	197582	204704	402286
-2100	208534	208433	416967
-2000	234716	228328	463044
-1900	239978	218214	458192
-1800	250101	223988	474089
-1700	363442	231719	595161
-1600	315841	235135	550976
-1500	344734	245803	590537
-1400	335450	250587	586037
-1300	307207	257562	564769
-1200	384593	236174	620767
-1100	446971	231985	678956
-1000	312652	260413	573065
-900	297883	270578	568461
-800	661051	311690	972741
-700	417209	424166	841375
-600	382243	352551	734794
-500	397439	354645	752084
-400	507375	403656	911031
-300	599260	436390	1035650
-200	618419	387743	1006162
-100	344394	148736	493130
0	154336	38447	192783
100	261247	22146	283393
200	108200	24443	132643
300	137236	29184	166420
400	285644	41954	327598
500	256123	33720	289843
600	168504	39394	207898
700	220340	51493	271833
800	207904	54540	262444
900	221792	52338	274130
1000	219632	63273	282905
1100	184961	54527	239488
1200	217867	59854	277721
1300	246655	45174	291829
1400	164760	54590	219350
1500	313923	48646	362569
1600	160840	48916	209756
1700	185099	63319	248418
1800	347625	64110	411735
1900	289428	57898	347326
