bin start	sense overlap	antisense overlap	total overlap
-1999	51473	18299	69772
-1899	212069	18368	230437
-1799	55488	16413	71901
-1699	49475	18707	68182
-1599	84831	20221	105052
-1499	90623	15803	106426
-1399	234693	15341	250034
-1299	69410	16284	85694
-1199	204635	19891	224526
-1099	90181	13636	103817
-999	49065	12004	61069
-899	213347	14121	227468
-799	160726	12447	173173
-699	106450	10868	117318
-599	173607	9941	183548
-499	90082	11219	101301
-399	77255	11668	88923
-299	148520	11999	160519
-199	169147	10371	179518
-99	64753	9971	74724
1	1009135	17911	1027046
101	240203	33620	273823
201	229265	36553	265818
301	47481	49119	96600
401	55855	60010	115865
501	71637	66260	137897
601	100710	67670	168380
701	214254	55888	270142
801	148040	70946	218986
901	163123	62579	225702
1001	114476	57125	171601
1101	103602	70086	173688
1201	243737	66122	309859
1301	222233	75289	297522
1401	110412	66486	176898
1501	112064	66864	178928
1601	111134	68727	179861
1701	192796	57570	250366
1801	92702	58453	151155
1901	89741	53758	143499
2001	228091	59740	287831
2101	69446	55321	124767
2201	80688	60018	140706
2301	102380	68664	171044
2401	197447	59102	256549
2501	169783	66038	235821
2601	209750	64060	273810
2701	126853	54624	181477
2801	80838	51170	132008
2901	206863	53239	260102
