bin start	sense overlap	antisense overlap	total overlap
-3000	66937	65000	131937
-2900	70462	64904	135366
-2800	74932	65305	140237
-2700	63996	62007	126003
-2600	69608	62332	131940
-2500	96287	67932	164219
-2400	99113	81397	180510
-2300	68913	84569	153482
-2200	73538	62628	136166
-2100	89923	118214	208137
-2000	71596	68192	139788
-1900	82717	82716	165433
-1800	92315	100288	192603
-1700	169428	92479	261907
-1600	162352	91086	253438
-1500	119477	96716	216193
-1400	119036	81050	200086
-1300	110357	87334	197691
-1200	123605	95528	219133
-1100	127873	88350	216223
-1000	120887	103156	224043
-900	116552	100085	216637
-800	326825	100894	427719
-700	303096	109331	412427
-600	127467	110372	237839
-500	111912	102914	214826
-400	120196	90640	210836
-300	204980	58177	263157
-200	139177	41940	181117
-100	96825	14843	111668
0	75453	13931	89384
100	76199	12098	88297
200	95779	10039	105818
300	169839	9357	179196
400	176673	14910	191583
500	66536	8760	75296
600	58897	12506	71403
700	135297	11634	146931
800	108345	14187	122532
900	99093	13113	112206
1000	81912	17138	99050
1100	178419	15587	194006
1200	53126	13786	66912
1300	82176	15195	97371
1400	70396	18427	88823
1500	235788	17616	253404
1600	90010	16935	106945
1700	209356	22157	231513
1800	165259	18640	183899
1900	133181	28512	161693
