bin start	sense overlap	antisense overlap	total overlap
-1999	38920	20513	59433
-1899	130916	18077	148993
-1799	38497	20665	59162
-1699	39143	20255	59398
-1599	65870	25038	90908
-1499	63790	20705	84495
-1399	153289	19396	172685
-1299	54692	15795	70487
-1199	131770	29513	161283
-1099	55986	17686	73672
-999	33290	11450	44740
-899	132705	21466	154171
-799	88637	16327	104964
-699	64951	11892	76843
-599	86351	9115	95466
-499	57910	8688	66598
-399	39830	6632	46462
-299	88766	10003	98769
-199	93218	10246	103464
-99	46065	15432	61497
1	718584	35144	753728
101	204496	57356	261852
201	152647	72066	224713
301	76573	78580	155153
401	84467	75022	159489
501	92623	88133	180756
601	105877	82839	188716
701	162830	74481	237311
801	160396	82637	243033
901	126535	81323	207858
1001	109746	74072	183818
1101	90886	76597	167483
1201	164274	72938	237212
1301	157524	75449	232973
1401	88723	68773	157496
1501	83968	72102	156070
1601	86652	64017	150669
1701	125229	56500	181729
1801	76152	64014	140166
1901	77591	61014	138605
2001	161727	82152	243879
2101	70493	65660	136153
2201	81589	75895	157484
2301	91239	68477	159716
2401	143832	57791	201623
2501	135507	63295	198802
2601	159431	64837	224268
2701	95970	63733	159703
2801	68955	53914	122869
2901	148067	49657	197724
