bin start	sense overlap	antisense overlap	total overlap
-3000	69911	64194	134105
-2900	81636	57909	139545
-2800	68400	61931	130331
-2700	65885	65720	131605
-2600	64299	62162	126461
-2500	76516	69931	146447
-2400	91441	71622	163063
-2300	71272	77381	148653
-2200	68617	68344	136961
-2100	80556	130756	211312
-2000	77649	67855	145504
-1900	204782	81967	286749
-1800	79338	78766	158104
-1700	113070	79302	192372
-1600	113257	80906	194163
-1500	99891	80495	180386
-1400	106958	83308	190266
-1300	93023	81316	174339
-1200	94252	79554	173806
-1100	111542	75703	187245
-1000	97815	84017	181832
-900	104959	91708	196667
-800	266693	103456	370149
-700	210087	117817	327904
-600	162163	143456	305619
-500	141416	137619	279035
-400	181000	140354	321354
-300	288889	133853	422742
-200	229074	168363	397437
-100	105119	60691	165810
0	40014	9446	49460
100	46343	4652	50995
200	54074	6235	60309
300	90716	8783	99499
400	102472	13461	115933
500	42366	9217	51583
600	37053	14716	51769
700	73695	17803	91498
800	72167	25192	97359
900	78389	16309	94698
1000	52296	19159	71455
1100	111978	20200	132178
1200	45054	17965	63019
1300	69565	15229	84794
1400	45550	21347	66897
1500	149269	17174	166443
1600	70534	16637	87171
1700	130102	24639	154741
1800	89698	21276	110974
1900	72595	22213	94808
