bin start	sense overlap	antisense overlap	total overlap
-1999	1206	876	2082
-1899	1454	769	2223
-1799	1333	611	1944
-1699	1417	293	1710
-1599	1965	512	2477
-1499	1214	759	1973
-1399	1449	675	2124
-1299	2376	740	3116
-1199	796	588	1384
-1099	1236	755	1991
-999	2685	352	3037
-899	1495	300	1795
-799	2804	788	3592
-699	1414	377	1791
-599	2319	622	2941
-499	2353	1682	4035
-399	2296	717	3013
-299	2379	1614	3993
-199	2087	1047	3134
-99	1119	579	1698
1	3181	1185	4366
101	2576	1530	4106
201	4207	2073	6280
301	3726	3004	6730
401	6323	2859	9182
501	5747	3331	9078
601	3221	3512	6733
701	3830	4073	7903
801	4449	4479	8928
901	3508	3499	7007
1001	4532	3959	8491
1101	4247	4561	8808
1201	5254	4121	9375
1301	3767	2510	6277
1401	3174	3233	6407
1501	3357	2810	6167
1601	2989	2517	5506
1701	2703	2788	5491
1801	2761	2185	4946
1901	2455	2641	5096
2001	5675	3479	9154
2101	2870	2483	5353
2201	4133	2924	7057
2301	3310	3183	6493
2401	4048	3359	7407
2501	5492	3845	9337
2601	3974	3941	7915
2701	3672	2661	6333
2801	5651	4517	10168
2901	6806	4530	11336
