bin start	sense overlap	antisense overlap	total overlap
-3000	3956	3409	7365
-2900	3319	3110	6429
-2800	3214	3572	6786
-2700	3786	4457	8243
-2600	3264	3017	6281
-2500	3567	2575	6142
-2400	3175	3621	6796
-2300	3204	3745	6949
-2200	2367	3033	5400
-2100	2430	2942	5372
-2000	3248	2149	5397
-1900	3342	3033	6375
-1800	3933	3145	7078
-1700	5475	3733	9208
-1600	2318	3097	5415
-1500	3801	4182	7983
-1400	3587	2682	6269
-1300	3002	2951	5953
-1200	4333	2604	6937
-1100	3361	4879	8240
-1000	2333	3998	6331
-900	3066	2146	5212
-800	3717	2651	6368
-700	2613	3164	5777
-600	4120	2731	6851
-500	3314	2596	5910
-400	4172	3047	7219
-300	2538	1897	4435
-200	3307	2126	5433
-100	991	824	1815
0	1820	455	2275
100	2058	355	2413
200	1289	426	1715
300	1361	441	1802
400	1241	712	1953
500	1503	923	2426
600	2104	610	2714
700	1406	593	1999
800	1306	872	2178
900	915	368	1283
1000	1371	349	1720
1100	1727	281	2008
1200	1227	585	1812
1300	3056	671	3727
1400	2870	1220	4090
1500	2342	953	3295
1600	3072	1535	4607
1700	1656	1713	3369
1800	2814	869	3683
1900	2411	742	3153
