bin start	sense overlap	antisense overlap	total overlap
-1999	1674	986	2660
-1899	1845	965	2810
-1799	1179	491	1670
-1699	1687	488	2175
-1599	1812	1075	2887
-1499	1675	878	2553
-1399	1939	1017	2956
-1299	2943	1078	4021
-1199	1099	865	1964
-1099	1253	1125	2378
-999	2096	618	2714
-899	2179	726	2905
-799	3572	502	4074
-699	1849	531	2380
-599	1594	579	2173
-499	2208	1592	3800
-399	3120	983	4103
-299	3091	1427	4518
-199	2845	771	3616
-99	1669	1204	2873
1	4583	980	5563
101	3328	1789	5117
201	3221	3009	6230
301	4317	3916	8233
401	6247	2526	8773
501	7640	5854	13494
601	3319	4378	7697
701	3636	4889	8525
801	4907	5094	10001
901	4568	3521	8089
1001	4453	3653	8106
1101	3535	5326	8861
1201	5719	5575	11294
1301	3570	3077	6647
1401	4208	2850	7058
1501	4118	2287	6405
1601	3615	3253	6868
1701	3314	2971	6285
1801	3468	2623	6091
1901	4036	3452	7488
2001	6041	3581	9622
2101	2938	4336	7274
2201	3596	3168	6764
2301	4624	3739	8363
2401	5965	3800	9765
2501	6077	3407	9484
2601	4918	4531	9449
2701	5215	3591	8806
2801	4804	4873	9677
2901	7096	5009	12105
