bin start	sense overlap	antisense overlap	total overlap
-3000	4137	3769	7906
-2900	3345	4042	7387
-2800	2922	3535	6457
-2700	3981	3989	7970
-2600	3174	4457	7631
-2500	3276	3099	6375
-2400	3944	5175	9119
-2300	3514	3708	7222
-2200	2561	5148	7709
-2100	2928	3189	6117
-2000	4194	3654	7848
-1900	4757	5057	9814
-1800	3434	3465	6899
-1700	7348	4453	11801
-1600	3632	4388	8020
-1500	4402	4349	8751
-1400	5128	2659	7787
-1300	3674	2671	6345
-1200	5390	3158	8548
-1100	4522	3977	8499
-1000	3288	3458	6746
-900	3856	2756	6612
-800	4626	3740	8366
-700	3463	4303	7766
-600	3858	4757	8615
-500	3264	4406	7670
-400	4925	4473	9398
-300	4034	2640	6674
-200	3030	2505	5535
-100	1141	1101	2242
0	1680	693	2373
100	1733	661	2394
200	1663	706	2369
300	1985	579	2564
400	1649	977	2626
500	2216	704	2920
600	2770	1138	3908
700	2013	1207	3220
800	1811	925	2736
900	1573	404	1977
1000	1543	380	1923
1100	1702	514	2216
1200	1815	745	2560
1300	2897	1257	4154
1400	3634	1270	4904
1500	2399	1594	3993
1600	3922	1723	5645
1700	1561	2398	3959
1800	4179	867	5046
1900	2605	654	3259
