bin start	sense overlap	antisense overlap	total overlap
-1999	2547	1275	3822
-1899	2348	1238	3586
-1799	1570	829	2399
-1699	2233	1012	3245
-1599	2462	1059	3521
-1499	2079	1179	3258
-1399	2139	1127	3266
-1299	3612	731	4343
-1199	1394	719	2113
-1099	2576	889	3465
-999	3482	771	4253
-899	2294	633	2927
-799	3141	702	3843
-699	1930	1065	2995
-599	2466	1496	3962
-499	2581	3064	5645
-399	3412	1317	4729
-299	3630	1370	5000
-199	2564	968	3532
-99	1842	609	2451
1	4091	1130	5221
101	2667	2242	4909
201	4519	3035	7554
301	5154	4062	9216
401	6495	3642	10137
501	7620	7053	14673
601	4715	5195	9910
701	4742	5364	10106
801	4580	5829	10409
901	4611	3899	8510
1001	5438	4661	10099
1101	7591	5386	12977
1201	6785	4605	11390
1301	4234	4788	9022
1401	5535	3898	9433
1501	4533	3144	7677
1601	4858	3658	8516
1701	3391	4502	7893
1801	3618	2515	6133
1901	3907	3866	7773
2001	6952	4045	10997
2101	4050	4314	8364
2201	4005	3580	7585
2301	4649	4699	9348
2401	5583	4790	10373
2501	7610	5351	12961
2601	5513	5203	10716
2701	6755	4136	10891
2801	5637	5344	10981
2901	7218	7256	14474
