bin start	sense overlap	antisense overlap	total overlap
-3000	4164	4384	8548
-2900	5089	3701	8790
-2800	3255	3864	7119
-2700	3782	5561	9343
-2600	4108	4991	9099
-2500	4428	3010	7438
-2400	3612	4349	7961
-2300	3285	3775	7060
-2200	3893	5126	9019
-2100	3920	5127	9047
-2000	5178	4156	9334
-1900	4416	4577	8993
-1800	4873	4875	9748
-1700	6593	4447	11040
-1600	4185	3811	7996
-1500	3993	5176	9169
-1400	6227	3840	10067
-1300	4503	4385	8888
-1200	5240	2996	8236
-1100	5088	6651	11739
-1000	4686	5005	9691
-900	3303	3717	7020
-800	4770	3966	8736
-700	3758	3370	7128
-600	4309	4464	8773
-500	4310	3369	7679
-400	5527	4267	9794
-300	4180	2450	6630
-200	3629	2511	6140
-100	1662	1214	2876
0	2235	867	3102
100	2085	495	2580
200	1404	693	2097
300	1362	771	2133
400	1582	1441	3023
500	2149	636	2785
600	2733	1460	4193
700	2571	1271	3842
800	1342	1109	2451
900	1927	518	2445
1000	1740	535	2275
1100	1746	1149	2895
1200	2126	1006	3132
1300	3815	958	4773
1400	4559	1240	5799
1500	3027	1278	4305
1600	5651	1740	7391
1700	2202	1809	4011
1800	4190	1200	5390
1900	2455	1093	3548
