bin start	sense overlap	antisense overlap	total overlap
-1999	5866	4059	9925
-1899	5504	2377	7881
-1799	3686	2005	5691
-1699	4424	1778	6202
-1599	4915	2422	7337
-1499	4813	2517	7330
-1399	6091	1954	8045
-1299	6448	3486	9934
-1199	9338	2965	12303
-1099	4705	2635	7340
-999	11994	1980	13974
-899	13248	1541	14789
-799	13391	1695	15086
-699	14244	1892	16136
-599	12643	4838	17481
-499	13519	6373	19892
-399	10853	4675	15528
-299	10275	5203	15478
-199	9680	4755	14435
-99	5947	2332	8279
1	17735	4408	22143
101	14183	7022	21205
201	13801	11372	25173
301	14862	16029	30891
401	21427	11721	33148
501	22893	16797	39690
601	13666	12590	26256
701	13770	14996	28766
801	15931	16748	32679
901	14809	12894	27703
1001	15474	12947	28421
1101	18415	22440	40855
1201	27274	15424	42698
1301	10252	11743	21995
1401	15057	9147	24204
1501	14341	10205	24546
1601	11856	11122	22978
1701	11880	9769	21649
1801	9214	6629	15843
1901	11575	8184	19759
2001	19798	12051	31849
2101	11856	10308	22164
2201	13325	11039	24364
2301	13586	18864	32450
2401	21947	15610	37557
2501	16704	12434	29138
2601	19366	12174	31540
2701	16038	12360	28398
2801	20233	17785	38018
2901	29885	20549	50434
