bin start	sense overlap	antisense overlap	total overlap
-3000	12710	12081	24791
-2900	11320	12475	23795
-2800	11277	13870	25147
-2700	14101	15560	29661
-2600	10389	13284	23673
-2500	14103	8210	22313
-2400	12190	11992	24182
-2300	11224	12606	23830
-2200	10772	15350	26122
-2100	9843	12410	22253
-2000	12712	9903	22615
-1900	11605	11148	22753
-1800	12622	13899	26521
-1700	24550	12983	37533
-1600	15280	10912	26192
-1500	14406	13932	28338
-1400	15191	11197	26388
-1300	11583	11069	22652
-1200	13439	9422	22861
-1100	14769	14684	29453
-1000	10319	10177	20496
-900	10892	9230	20122
-800	15933	9465	25398
-700	13189	9261	22450
-600	13563	11975	25538
-500	10949	10151	21100
-400	12886	13509	26395
-300	12836	10788	23624
-200	15368	9727	25095
-100	5118	4273	9391
0	7495	1093	8588
100	6200	1700	7900
200	3956	2301	6257
300	6023	2936	8959
400	5502	4037	9539
500	7650	2932	10582
600	10358	2638	12996
700	6383	2525	8908
800	8613	3351	11964
900	6020	1267	7287
1000	4997	1671	6668
1100	4604	1552	6156
1200	4016	2036	6052
1300	7576	2450	10026
1400	8132	3717	11849
1500	9853	3540	13393
1600	10498	6952	17450
1700	9109	4894	14003
1800	12861	2785	15646
1900	10388	2608	12996
