bin start	sense overlap	antisense overlap	total overlap
-1999	28599	20819	49418
-1899	23182	17644	40826
-1799	13407	9953	23360
-1699	16897	9274	26171
-1599	15272	12861	28133
-1499	11921	11525	23446
-1399	16659	12859	29518
-1299	15777	17645	33422
-1199	16138	22243	38381
-1099	15947	15326	31273
-999	57739	11019	68758
-899	41779	7296	49075
-799	28734	7188	35922
-699	24343	12439	36782
-599	27172	23334	50506
-499	45533	38752	84285
-399	47164	23416	70580
-299	51918	46899	98817
-199	35507	26087	61594
-99	21832	15672	37504
1	38257	21810	60067
101	35652	36728	72380
201	56636	53693	110329
301	69961	78520	148481
401	123425	64741	188166
501	104845	82970	187815
601	76475	79479	155954
701	65090	76993	142083
801	110405	97922	208327
901	90404	78356	168760
1001	90591	71337	161928
1101	97289	103801	201090
1201	122039	92565	214604
1301	64908	64200	129108
1401	88598	53316	141914
1501	67743	47916	115659
1601	50907	53335	104242
1701	46130	50157	96287
1801	47106	37323	84429
1901	67942	49888	117830
2001	124664	65563	190227
2101	65087	68800	133887
2201	60767	62772	123539
2301	73738	91930	165668
2401	113820	91292	205112
2501	79194	57213	136407
2601	82288	70645	152933
2701	85676	59252	144928
2801	116975	107767	224742
2901	139969	110165	250134
