bin start	sense overlap	antisense overlap	total overlap
-3000	62013	56848	118861
-2900	53528	52638	106166
-2800	51286	65189	116475
-2700	68226	77831	146057
-2600	55001	63648	118649
-2500	54379	47098	101477
-2400	55275	77199	132474
-2300	61048	65758	126806
-2200	50319	84006	134325
-2100	47797	53700	101497
-2000	68603	53486	122089
-1900	70186	71733	141919
-1800	78330	84200	162530
-1700	111903	87833	199736
-1600	58065	57112	115177
-1500	72691	88046	160737
-1400	69472	58108	127580
-1300	62431	56701	119132
-1200	80500	60087	140587
-1100	81279	89933	171212
-1000	56061	64261	120322
-900	64982	52611	117593
-800	74105	59140	133245
-700	61796	61061	122857
-600	74842	71398	146240
-500	60468	54316	114784
-400	63868	57045	120913
-300	63360	52066	115426
-200	81311	55441	136752
-100	20015	16559	36574
0	15813	6783	22596
100	9064	5973	15037
200	13683	10618	24301
300	18309	10690	28999
400	28358	20966	49324
500	25791	13209	39000
600	21705	14587	36292
700	15863	17545	33408
800	16762	13382	30144
900	14504	8679	23183
1000	18178	9417	27595
1100	11025	10197	21222
1200	14366	10810	25176
1300	43823	15775	59598
1400	43320	19224	62544
1500	44136	22069	66205
1600	25815	40234	66049
1700	25068	27151	52219
1800	33478	19627	53105
1900	43795	13724	57519
