bin start	sense overlap	antisense overlap	total overlap
-1999	27723	20692	48415
-1899	25163	16717	41880
-1799	12761	9482	22243
-1699	17319	7448	24767
-1599	14626	10936	25562
-1499	12060	9876	21936
-1399	14839	11331	26170
-1299	14325	17711	32036
-1199	14436	20375	34811
-1099	15017	14127	29144
-999	57138	9880	67018
-899	38758	7444	46202
-799	31582	7206	38788
-699	23657	11953	35610
-599	26284	22228	48512
-499	41863	38155	80018
-399	45208	21380	66588
-299	49689	41795	91484
-199	33449	26549	59998
-99	21495	16378	37873
1	37650	23092	60742
101	32412	37178	69590
201	55206	52642	107848
301	68252	74477	142729
401	119249	61083	180332
501	105332	79665	184997
601	72614	72861	145475
701	63420	77948	141368
801	108230	96117	204347
901	84730	78068	162798
1001	80537	68583	149120
1101	90826	101919	192745
1201	117043	92293	209336
1301	63843	58619	122462
1401	82132	50120	132252
1501	64079	48960	113039
1601	49687	50986	100673
1701	44759	47778	92537
1801	45256	36049	81305
1901	62324	49989	112313
2001	123212	60705	183917
2101	64771	68918	133689
2201	59216	60900	120116
2301	69983	85208	155191
2401	111063	90544	201607
2501	77018	52265	129283
2601	81874	67110	148984
2701	85155	57589	142744
2801	111939	98806	210745
2901	136528	106250	242778
