bin start	sense overlap	antisense overlap	total overlap
-3000	56192	56360	112552
-2900	50609	52109	102718
-2800	50460	61162	111622
-2700	62486	74169	136655
-2600	52781	62345	115126
-2500	53031	43169	96200
-2400	52114	74414	126528
-2300	56245	61543	117788
-2200	46511	76712	123223
-2100	46025	53544	99569
-2000	62958	51103	114061
-1900	65651	69901	135552
-1800	71835	79566	151401
-1700	108835	86207	195042
-1600	54513	57155	111668
-1500	69293	83075	152368
-1400	66402	56083	122485
-1300	58647	56627	115274
-1200	75997	55732	131729
-1100	75045	87572	162617
-1000	53283	59514	112797
-900	62263	49716	111979
-800	71111	57709	128820
-700	59976	56721	116697
-600	70887	64488	135375
-500	60791	51054	111845
-400	61860	55760	117620
-300	62251	47540	109791
-200	74743	49002	123745
-100	20456	15447	35903
0	14230	6316	20546
100	9880	5020	14900
200	13018	9294	22312
300	16932	10603	27535
400	28391	20755	49146
500	24681	12676	37357
600	19980	13949	33929
700	15534	17533	33067
800	15704	13052	28756
900	14537	7949	22486
1000	16506	8615	25121
1100	11042	9956	20998
1200	15875	9868	25743
1300	41146	16067	57213
1400	39452	17532	56984
1500	41401	20903	62304
1600	23888	36086	59974
1700	23598	25881	49479
1800	33758	19316	53074
1900	43486	12882	56368
