bin start	sense overlap	antisense overlap	total overlap
-1999	21611	17841	39452
-1899	21283	17762	39045
-1799	19424	14932	34356
-1699	20545	13535	34080
-1599	38052	17364	55416
-1499	24104	16580	40684
-1399	20828	14736	35564
-1299	22386	12343	34729
-1199	23665	14326	37991
-1099	24082	14045	38127
-999	29964	9156	39120
-899	22770	10469	33239
-799	20875	9561	30436
-699	19195	10225	29420
-599	18793	8695	27488
-499	16637	6787	23424
-399	15074	5810	20884
-299	17159	9212	26371
-199	16703	8709	25412
-99	17095	11458	28553
1	29352	24472	53824
101	41341	36422	77763
201	52303	48685	100988
301	58982	58884	117866
401	60293	59977	120270
501	68578	62294	130872
601	66854	66293	133147
701	63214	57431	120645
801	62330	60470	122800
901	61420	56183	117603
1001	54205	55905	110110
1101	52146	54846	106992
1201	54163	46103	100266
1301	53602	54385	107987
1401	56156	50959	107115
1501	51537	49084	100621
1601	48629	49068	97697
1701	52653	49844	102497
1801	44678	44992	89670
1901	39801	45882	85683
2001	50961	53084	104045
2101	43863	42890	86753
2201	45230	45916	91146
2301	47764	42967	90731
2401	45803	43335	89138
2501	49231	44518	93749
2601	50293	39671	89964
2701	49184	41496	90680
2801	47684	43731	91415
2901	43876	36659	80535
