bin start	sense overlap	antisense overlap	total overlap
-3000	46591	47432	94023
-2900	45120	42543	87663
-2800	46392	47367	93759
-2700	48304	45439	93743
-2600	41991	40421	82412
-2500	47491	46128	93619
-2400	65364	47648	113012
-2300	51335	48732	100067
-2200	48454	49674	98128
-2100	54069	51805	105874
-2000	55558	56854	112412
-1900	62280	55668	117948
-1800	62680	58495	121175
-1700	55033	53480	108513
-1600	61121	62494	123615
-1500	57960	56572	114532
-1400	60442	57118	117560
-1300	60369	60006	120375
-1200	60395	57077	117472
-1100	63141	59843	122984
-1000	69979	67842	137821
-900	77472	71143	148615
-800	78450	77828	156278
-700	96695	92860	189555
-600	107080	95583	202663
-500	105291	102026	207317
-400	129725	116386	246111
-300	144827	108186	253013
-200	149249	106029	255278
-100	49581	36366	85947
0	11433	6172	17605
100	11119	3680	14799
200	8679	5102	13781
300	12327	5500	17827
400	12845	7243	20088
500	13412	8633	22045
600	15396	9145	24541
700	17577	11260	28837
800	24153	13555	37708
900	21140	13840	34980
1000	20422	15672	36094
1100	20504	15199	35703
1200	25157	15169	40326
1300	37040	14278	51318
1400	19779	16127	35906
1500	19398	13006	32404
1600	24864	12861	37725
1700	21430	16407	37837
1800	38046	15653	53699
1900	25377	12244	37621
