bin start	sense overlap	antisense overlap	total overlap
-1999	4449	2867	7316
-1899	4477	2338	6815
-1799	4288	2164	6452
-1699	3858	2071	5929
-1599	7683	2426	10109
-1499	4546	2133	6679
-1399	4424	1944	6368
-1299	4635	2219	6854
-1199	3199	2983	6182
-1099	3192	4918	8110
-999	5678	1870	7548
-899	4863	1277	6140
-799	5972	2268	8240
-699	6256	1334	7590
-599	3503	2899	6402
-499	4318	3273	7591
-399	5367	1643	7010
-299	4617	2835	7452
-199	4816	2204	7020
-99	4078	1750	5828
1	8856	2261	11117
101	5062	3553	8615
201	5794	4938	10732
301	8591	7173	15764
401	12263	7025	19288
501	12681	8683	21364
601	7401	9142	16543
701	10319	8029	18348
801	11749	10426	22175
901	11283	8867	20150
1001	10859	11048	21907
1101	10540	9288	19828
1201	13246	9887	23133
1301	10023	9306	19329
1401	9649	8124	17773
1501	8225	9740	17965
1601	8052	8333	16385
1701	8759	7697	16456
1801	9843	7024	16867
1901	8290	8423	16713
2001	12258	8507	20765
2101	9061	9176	18237
2201	10530	8780	19310
2301	9479	9334	18813
2401	11471	8936	20407
2501	13199	7463	20662
2601	10145	8273	18418
2701	9853	7659	17512
2801	9932	10912	20844
2901	13061	10866	23927
