bin start	sense overlap	antisense overlap	total overlap
-3000	10204	12347	22551
-2900	10327	10591	20918
-2800	9722	11988	21710
-2700	11407	11715	23122
-2600	9565	11640	21205
-2500	10743	9982	20725
-2400	12099	10270	22369
-2300	10893	9312	20205
-2200	9248	11377	20625
-2100	9495	9593	19088
-2000	11373	8448	19821
-1900	12200	11830	24030
-1800	11442	9825	21267
-1700	14838	11308	26146
-1600	9622	11297	20919
-1500	10599	12245	22844
-1400	10324	10799	21123
-1300	10912	9979	20891
-1200	12324	11187	23511
-1100	12240	11952	24192
-1000	11257	10396	21653
-900	10707	10557	21264
-800	12179	10796	22975
-700	10807	10747	21554
-600	9290	9721	19011
-500	8927	8791	17718
-400	9691	11113	20804
-300	8325	6213	14538
-200	6207	4970	11177
-100	3292	2866	6158
0	5179	1829	7008
100	5606	2075	7681
200	4648	1696	6344
300	3187	1653	4840
400	3858	1769	5627
500	3846	2269	6115
600	4132	5294	9426
700	6245	2176	8421
800	4040	1521	5561
900	4897	1926	6823
1000	4424	1469	5893
1100	4071	1869	5940
1200	5643	1640	7283
1300	9276	2553	11829
1400	16898	3816	20714
1500	6484	3831	10315
1600	7002	3039	10041
1700	4353	3145	7498
1800	8558	2940	11498
1900	7791	2654	10445
