bin start	sense overlap	antisense overlap	total overlap
-1999	4863	3991	8854
-1899	4881	3528	8409
-1799	4337	2149	6486
-1699	4274	1794	6068
-1599	8995	3430	12425
-1499	5708	2518	8226
-1399	4714	2830	7544
-1299	4595	2377	6972
-1199	3474	2773	6247
-1099	3835	4464	8299
-999	6851	1954	8805
-899	5640	2321	7961
-799	6881	2286	9167
-699	6237	2043	8280
-599	4153	2834	6987
-499	4579	3470	8049
-399	6077	2423	8500
-299	5194	3422	8616
-199	4910	2532	7442
-99	3903	1766	5669
1	11568	2770	14338
101	6131	3979	10110
201	6581	5606	12187
301	9323	7100	16423
401	13294	8279	21573
501	14805	9774	24579
601	8677	9736	18413
701	10482	9575	20057
801	14735	12442	27177
901	13362	9486	22848
1001	12430	11435	23865
1101	12765	12579	25344
1201	16708	11901	28609
1301	10877	9957	20834
1401	11398	9966	21364
1501	11279	9354	20633
1601	10980	9156	20136
1701	9866	7789	17655
1801	11236	8139	19375
1901	9998	8458	18456
2001	14759	8925	23684
2101	10191	9220	19411
2201	11829	11933	23762
2301	11490	11360	22850
2401	14634	11244	25878
2501	14386	9236	23622
2601	12877	10432	23309
2701	11639	9858	21497
2801	12510	12013	24523
2901	14382	13148	27530
