bin start	sense overlap	antisense overlap	total overlap
-3000	11104	13200	24304
-2900	12129	12515	24644
-2800	11410	13129	24539
-2700	11031	12901	23932
-2600	11422	13421	24843
-2500	11605	10245	21850
-2400	14134	13112	27246
-2300	10550	11091	21641
-2200	9797	13043	22840
-2100	11891	10393	22284
-2000	12163	11523	23686
-1900	14096	12012	26108
-1800	14642	12376	27018
-1700	17108	12700	29808
-1600	11836	11521	23357
-1500	12703	12741	25444
-1400	13126	11490	24616
-1300	11102	11071	22173
-1200	15850	11321	27171
-1100	14211	13187	27398
-1000	13732	11951	25683
-900	12241	10880	23121
-800	12820	12056	24876
-700	12702	10862	23564
-600	11978	10796	22774
-500	10026	9031	19057
-400	10342	12722	23064
-300	9240	6362	15602
-200	8032	6523	14555
-100	3074	3158	6232
0	6325	1970	8295
100	5406	1801	7207
200	5282	2132	7414
300	3901	2079	5980
400	3737	2138	5875
500	4114	2387	6501
600	6185	7346	13531
700	6696	2563	9259
800	4553	2184	6737
900	5126	1904	7030
1000	5006	1836	6842
1100	4397	2314	6711
1200	5930	2047	7977
1300	10967	2308	13275
1400	19052	4376	23428
1500	7204	4043	11247
1600	7553	3975	11528
1700	5365	3313	8678
1800	9333	3462	12795
1900	8247	3467	11714
