	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	65	2267.64605134679	2260.67412612155	7424.05971831731	8182.08779328373	2268.14155353245	7477.26169878931	7428.66096507786	7741.66723362608	2275.74739500896	2318.97632813166	2305.36225626783	2280.95186844564	2249.12052360452	2248.12496612854	7901.34189441829	7847.053277923	2237.82795273599	7501.97873584518	7881.96180918707	7919.76396896259	2263.26487602536	2296.69308960413	2260.01051356729	2266.07951856314	2252.928655047	2260.47380178803	8859.70537496597	8776.68291316745	2263.78423847563	8543.92956472435	8322.44354844761	8767.39077748515	2282.85142305264	2303.92367029141	2295.25342761199	2298.8993391182	2259.87432104864	2246.73823258359	7874.28608929272	8352.61595592989	2323.97973595139	8025.71037198679	8275.29574230437	8539.58139273187	2264.14427857405	2275.55266531499	2282.33021838161	2311.671885165	2270.53181935371	2283.37554617561	7965.57785143408	8558.54198036561	2262.67645224183	8572.97595444047	8514.05734628593	8692.59118805862	2308.06288209085	2307.62789018159	2304.72685322957	2286.56695872523	2244.3679498063	2267.54212973925	7532.91258745313	8201.71472819899	2318.19162643975	8055.11465371239	8125.84518754309	8166.40105943878	2266.48121842467	2268.6069212958	2282.13082610404	2284.37901621511	2266.49027954094	2279.2534855133	7967.19677600345	8234.11087321706	2298.99751483289	8435.7183126562	8343.65993030153	8281.09513108947	2273.74473532915	2301.78060026398	2304.80382765908	2296.29775001828	2238.19017875182	2242.10217950077	6711.13891787991	6991.55389228819	2269.1885820147	7612.2183019603	7394.25113843437	7633.26441668293	2280.58197790995	2319.87536044255	2297.75136014772	2306.08682980333
	65.5	2266.41172132094	2259.94452474324	7347.89899943097	8093.48909608747	2267.12540752277	7388.54430030662	7346.98802976886	7648.56899691032	2274.36528385689	2317.32342684869	2304.2876376571	2279.86709449476	2248.35900222622	2247.18584358486	7823.9447880676	7763.02423370239	2236.51114105728	7426.08903855816	7796.44313547081	7829.27833425531	2262.17889881431	2295.2785596736	2258.68490652542	2264.58407268889	2252.01042279183	2259.72889930027	8766.48495854584	8673.4074488196	2262.42442446676	8448.17384609576	8228.61079142205	8662.31446454371	2281.48129369364	2302.57790004798	2293.83371027543	2298.0675476843	2258.23499024206	2245.54580439781	7790.20941338894	8261.74495914237	2322.11589750038	7938.23222366011	8183.98307054346	8440.1634858903	2263.21746516648	2274.36246195845	2280.92221191008	2310.54046229109	2269.53026762259	2282.27709044726	7887.50546167451	8461.69720401567	2261.59045243887	8473.47809707128	8413.0464114214	8589.96298747125	2306.38593091179	2306.65249898066	2303.65441491937	2285.83689088512	2243.69269089579	2266.25271768999	7458.56418460102	8112.96514712838	2316.82044784053	7961.45155760868	8042.40017977647	8070.41978166982	2265.40885161932	2267.58175202061	2280.50738207688	2283.38723901178	2264.6290611228	2278.22713647569	7887.44538820635	8149.58526296519	2297.957269921	8343.05127311753	8247.05458762373	8187.78724211537	2272.45201259165	2300.41429840102	2302.90311226814	2294.81069715905	2237.20911621326	2241.52995577808	6647.63077059237	6919.21087354104	2268.10305392023	7529.75439922706	7310.49706779885	7544.43263885075	2279.12839002865	2318.23089837123	2296.03529382484	2304.18346095139
	66	2265.17739129508	2259.21492336493	7271.73828054463	8004.89039889122	2266.10926151309	7299.82690182392	7265.31509445985	7555.47076019456	2272.98317270483	2315.67052556573	2303.21301904638	2278.78232054387	2247.59748084792	2246.24672104118	7746.54768171692	7678.99518948177	2235.19432937857	7350.19934127114	7710.92446175456	7738.79269954802	2261.09292160325	2293.86402974308	2257.35929948354	2263.08862681464	2251.09219053666	2258.98399681252	8673.26454212571	8570.13198447174	2261.0646104579	8352.41812746716	8134.77803439649	8557.23815160227	2280.11116433464	2301.23212980455	2292.41399293887	2297.2357562504	2256.59565943548	2244.35337621204	7706.13273748516	8170.87396235486	2320.25205904938	7850.75407533343	8092.67039878256	8340.74557904872	2262.29065175891	2273.17225860192	2279.51420543856	2309.40903941718	2268.52871589148	2281.17863471892	7809.43307191493	8364.85242766574	2260.50445263592	8373.98023970209	8312.03547655687	8487.33478688388	2304.70897973273	2305.67710777972	2302.58197660918	2285.10682304501	2243.01743198528	2264.96330564073	7384.21578174892	8024.21556605776	2315.44926924131	7867.78846150496	7958.95517200985	7974.43850390087	2264.33648481397	2266.55658274542	2278.88393804973	2282.39546180844	2262.76784270465	2277.20078743808	7807.69400040925	8065.05965271332	2296.91702500911	8250.38423357885	8150.44924494594	8094.47935314126	2271.15928985415	2299.04799653806	2301.0023968772	2293.32364429982	2236.2280536747	2240.95773205539	6584.12262330482	6846.86785479389	2267.01752582576	7447.29049649382	7226.74299716333	7455.60086101857	2277.67480214736	2316.58643629992	2294.31922750196	2302.28009209944
	66.5	2263.94306126922	2258.48532198663	7195.57756165829	7916.29170169496	2265.09311550341	7211.10950334123	7183.64215915085	7462.3725234788	2271.60106155276	2314.01762428277	2302.13840043565	2277.69754659299	2246.83595946962	2245.30759849749	7669.15057536623	7594.96614526116	2233.87751769986	7274.30964398411	7625.4057880383	7648.30706484073	2260.0069443922	2292.44949981255	2256.03369244167	2261.59318094039	2250.17395828149	2258.23909432477	8580.04412570557	8466.85652012389	2259.70479644903	8256.66240883856	8040.94527737094	8452.16183866083	2278.74103497564	2299.88635956112	2290.99427560231	2296.4039648165	2254.9563286289	2243.16094802626	7622.05606158138	8080.00296556735	2318.38822059838	7763.27592700675	8001.35772702166	8241.32767220715	2261.36383835134	2271.98205524538	2278.10619896703	2308.27761654328	2267.52716416037	2280.08017899057	7731.36068215535	8268.00765131579	2259.41845283296	8274.4823823329	8211.02454169234	8384.70658629651	2303.03202855366	2304.70171657878	2301.50953829898	2284.37675520491	2242.34217307477	2263.67389359147	7309.86737889681	7935.46598498714	2314.07809064209	7774.12536540124	7875.51016424323	7878.45722613191	2263.26411800862	2265.53141347024	2277.26049402258	2281.4036846051	2260.90662428651	2276.17443840047	7727.94261261216	7980.53404246145	2295.87678009722	8157.71719404017	8053.84390226814	8001.17146416716	2269.86656711666	2297.6816946751	2299.10168148625	2291.83659144059	2235.24699113614	2240.3855083327	6520.61447601727	6774.52483604673	2265.93199773129	7364.82659376058	7142.98892652782	7366.76908318639	2276.22121426606	2314.9419742286	2292.60316117908	2300.37672324749
	67	2262.70873124337	2257.75572060832	7119.41684277194	7827.6930044987	2264.07696949374	7122.39210485854	7101.96922384184	7369.27428676303	2270.21895040069	2312.3647229998	2301.06378182492	2276.61277264211	2246.07443809132	2244.36847595381	7591.75346901554	7510.93710104055	2232.56070602115	7198.41994669709	7539.88711432204	7557.82143013344	2258.92096718114	2291.03496988202	2254.7080853998	2260.09773506614	2249.25572602632	2257.49419183702	8486.82370928544	8363.58105577603	2258.34498244016	8160.90669020996	7947.11252034538	8347.08552571939	2277.37090561664	2298.54058931769	2289.57455826575	2295.57217338261	2253.31699782232	2241.96851984049	7537.9793856776	7989.13196877983	2316.52438214738	7675.79777868007	7910.04505526076	8141.90976536557	2260.43702494377	2270.79185188885	2276.69819249551	2307.14619366937	2266.52561242925	2278.98172326222	7653.28829239578	8171.16287496586	2258.33245303	8174.9845249637	8110.0136068278	8282.07838570914	2301.3550773746	2303.72632537785	2300.43709998878	2283.6466873648	2241.66691416426	2262.3844815422	7235.5189760447	7846.71640391652	2312.70691204286	7680.46226929753	7792.06515647662	7782.47594836295	2262.19175120326	2264.50624419505	2275.63704999543	2280.41190740176	2259.04540586836	2275.14808936285	7648.19122481506	7896.00843220957	2294.83653518533	8065.05015450149	7957.23855959034	7907.86357519306	2268.57384437916	2296.31539281214	2297.20096609531	2290.34953858136	2234.26592859758	2239.81328461001	6457.10632872973	6702.18181729958	2264.84646963682	7282.36269102735	7059.2348558923	7277.93730535421	2274.76762638476	2313.29751215729	2290.8870948562	2298.47335439555
	67.5	2261.47440121749	2257.02611923006	7043.2561238856	7739.09430730247	2263.06082348407	7033.67470637582	7020.29628853277	7276.17605004723	2268.83683924865	2310.71182171681	2299.98916321422	2275.52799869118	2245.31291671302	2243.42935341013	7514.35636266484	7426.90805681995	2231.24389434243	7122.53024941006	7454.36844060582	7467.33579542624	2257.83498997006	2289.62043995151	2253.38247835794	2258.6022891919	2248.33749377117	2256.74928934922	8393.60329286526	8260.30559142821	2256.98516843131	8065.15097158132	7853.27976331976	8242.00921277785	2276.00077625767	2297.19481907424	2288.15484092917	2294.74038194872	2251.67766701574	2240.77609165472	7453.90270977381	7898.26097199223	2314.66054369636	7588.3196303535	7818.73238349981	8042.49185852408	2259.5102115362	2269.60164853234	2275.290186024	2306.01477079546	2265.52406069815	2277.88326753383	7575.21590263624	8074.31809861585	2257.24645322706	8075.48666759454	8009.0026719632	8179.4501851219	2299.67812619553	2302.75093417694	2299.36466167862	2282.9166195247	2240.99165525374	2261.09506949294	7161.17057319261	7757.96682284595	2311.33573344364	7586.79917319378	7708.62014870995	7686.49467059394	2261.11938439794	2263.48107491987	2274.01360596826	2279.42013019845	2257.18418745022	2274.12174032527	7568.43983701791	7811.48282195778	2293.79629027342	7972.38311496276	7860.6332169124	7814.55568621894	2267.28112164167	2294.9490909492	2295.30025070442	2288.86248572211	2233.284866059	2239.24106088729	6393.59818144218	6629.83879855238	2263.76094154238	7199.89878829418	6975.48078525688	7189.10552752206	2273.31403850348	2311.65305008599	2289.1710285333	2296.56998554361
	68	2260.24007119164	2256.29651785176	6967.09540499926	7650.49561010622	2262.04467747439	6944.95730789313	6938.62335322377	7183.07781333147	2267.45472809658	2309.05892043384	2298.91454460349	2274.4432247403	2244.55139533472	2242.49023086644	7436.95925631415	7342.87901259934	2229.92708266372	7046.64055212304	7368.84976688957	7376.85016071895	2256.749012759	2288.20591002099	2252.05687131606	2257.10684331765	2247.419261516	2256.00438686147	8300.38287644513	8157.03012708036	2255.62535442244	7969.39525295272	7759.4470062942	8136.93289983641	2274.63064689867	2295.84904883081	2286.73512359261	2293.90859051482	2250.03833620916	2239.58366346895	7369.82603387003	7807.38997520472	2312.79670524536	7500.84148202682	7727.4197117389	7943.07395168251	2258.58339812863	2268.41144517581	2273.88217955248	2304.88334792155	2264.52250896704	2276.78481180549	7497.14351287666	7977.47332226591	2256.1604534241	7975.98881022535	7907.99173709866	8076.82198453453	2298.00117501647	2301.77554297601	2298.29222336842	2282.18655168459	2240.31639634323	2259.80565744368	7086.8221703405	7669.21724177533	2309.96455484442	7493.13607709007	7625.17514094333	7590.51339282498	2260.04701759259	2262.45590564469	2272.39016194111	2278.42835299511	2255.32296903207	2273.09539128766	7488.68844922082	7726.95721170591	2292.75604536154	7879.71607542408	7764.0278742346	7721.24779724484	2265.98839890417	2293.58278908624	2293.39953531348	2287.37543286288	2232.30380352044	2238.6688371646	6330.09003415464	6557.49577980523	2262.67541344791	7117.43488556094	6891.72671462137	7100.27374968988	2271.86045062219	2310.00858801467	2287.45496221042	2294.66661669166
	68.5	2258.88756359373	2255.57749331575	6886.50944378799	7558.56077626806	2261.02069108452	6854.55746418685	6853.86670948725	7088.53474344521	2266.06743276283	2307.93004525481	2297.6124074408	2273.30020335671	2243.72161079551	2241.91331486598	7353.6025911917	7256.52921863767	2228.60669911806	6965.63553946766	7278.73364345687	7283.73131585651	2255.69205648235	2286.29223103887	2250.84119036886	2256.04405184792	2246.58783912872	2255.17389901586	8200.29924587678	8050.1859761694	2254.16793760045	7868.83098178952	7660.33113199851	8028.34102445419	2273.71999575776	2294.86861740774	2285.02910898046	2292.86986364472	2249.03187572783	2238.33828528925	7281.66698599252	7710.98077672984	2310.96026324518	7407.8073488795	7629.98824679853	7837.95998937828	2257.42282160624	2266.95958921689	2272.1368767601	2303.73045270568	2263.21781085083	2275.81097600506	7412.63451306218	7875.78946710821	2254.74759266443	7872.77930491464	7804.35762578633	7970.36077000782	2296.60553814679	2301.07196524866	2297.29663573673	2280.88897900821	2239.4682697883	2258.43804388496	7006.65005747627	7574.51271845641	2308.54878317185	7397.21345041022	7538.24571596211	7490.66750893963	2258.40504365532	2261.49337340163	2270.64811308429	2277.70105874739	2253.60898947887	2272.25049755063	7400.76988316197	7637.97369774729	2291.25815883934	7783.07705356838	7665.0451261579	7626.88784643842	2264.52494785072	2292.24704296248	2291.71755226005	2285.86374359709	2231.42424678966	2238.20758912792	6261.6767850714	6480.44815461512	2261.50056173139	7032.24034849381	6805.7896633556	7008.53231290322	2270.17308139431	2308.23965822615	2285.39049354312	2292.81798762565
	69	2258.21583557797	2254.8560091649	6803.30003788119	7464.76011614109	2259.92126509741	6762.82736927144	6766.20040444333	6992.7261487704	2264.68668446103	2307.10724337684	2296.20436103713	2272.34186238951	2243.10010826031	2241.41696735488	7266.44995365423	7168.62233043016	2227.44629382934	6880.56438433518	7185.97369892981	7189.13296742727	2254.99789099629	2284.47021842841	2250.05300294496	2254.59578325382	2245.74188736148	2254.13023461801	8095.21233128927	7940.49725073431	2252.86943139442	7764.89589308257	7556.95195471313	7917.73186465507	2272.51371293923	2293.69232475613	2283.22404963305	2291.4918884205	2248.50913192481	2237.52772896686	7190.40012075113	7611.03402391733	2308.96904767825	7311.12896441011	7527.51464313082	7729.00967563578	2256.05749479798	2265.56151815496	2270.53426888487	2302.369123574	2262.06579395705	2274.64502887427	7322.94897455183	7770.89145211652	2253.45059031487	7766.10812950829	7698.70505993412	7861.23683945713	2295.41929266751	2300.19153806223	2295.92808951016	2279.68257634492	2238.69341566933	2257.28037505509	6921.94093875388	7475.62368454441	2307.46012303588	7299.50398024806	7448.79650051835	7389.41055718431	2256.60354344396	2260.26627190647	2269.0987047662	2277.01494261803	2251.24933626854	2271.06735271961	7307.70896236444	7546.70998350838	2289.46879091278	7683.53641216507	7564.74687444505	7532.92551251134	2263.16523143016	2291.12862239747	2289.73204376876	2284.38539991547	2230.58805351579	2237.741845109	6189.45992873609	6400.12583410301	2260.06526533257	6946.0479382219	6718.67092662882	6915.7075979194	2268.96261983483	2306.77630381298	2283.67042551752	2290.92859280245
	69.5	2257.16206179857	2254.37312151322	6718.58290150664	7369.65697675365	2258.89272100649	6670.74028718364	6676.56820739428	6896.89848280014	2263.52826751414	2306.58342688517	2294.67336983185	2270.66775301011	2242.4849006181	2240.89636919474	7177.5919469641	7081.53908432904	2226.40104895248	6793.03009057504	7091.67154734509	7093.18218302414	2253.77712149334	2282.28501467478	2249.70462811298	2253.48128510663	2244.80768128961	2252.97142804183	7987.88696715786	7829.68872116038	2251.50211381453	7659.10141330243	7451.28505310436	7806.47539193233	2271.61425917848	2292.58593471242	2281.38432411696	2289.6503588831	2247.9532650711	2236.72449188704	7097.45013180829	7508.84462653162	2306.80604278442	7212.3477642902	7422.73811905799	7618.44920967744	2254.81622279137	2263.72826851663	2269.14137656281	2300.86902404295	2260.79868223954	2273.51428266799	7229.9258593574	7664.21131150056	2252.36434440964	7658.17936517782	7592.25739037688	7751.66624321977	2294.43536269185	2299.43777731713	2294.35506414601	2278.41935028234	2237.88231869771	2256.15523861905	6834.33931010511	7374.75742941744	2306.49018236574	7201.29837787419	7357.5253552625	7287.40047755082	2254.84040171436	2258.61036430897	2267.39951848227	2275.8789262187	2249.35266950082	2269.31870144031	7212.09197672528	7454.14996044555	2287.58680974781	7582.30912831449	7464.50113112646	7439.07967251323	2262.31522366688	2289.7059138525	2287.55577404262	2283.30383458105	2229.93943792906	2236.92659522893	6114.91056490369	6317.53007442787	2258.6656434987	6859.25551225722	6631.47196204377	6822.32660818845	2267.72482420997	2305.1747074931	2282.05334981762	2289.29616830272
	70	2255.98695941339	2253.80932286086	6634.04276641849	7274.15302739528	2258.01818953388	6578.96550884272	6586.4573294997	6801.90928199182	2262.64374771905	2306.08007777086	2293.11668397651	2269.04942294665	2241.62752564716	2240.37745385502	7088.06955644855	6995.31857501104	2225.31174060542	6704.32382990452	6996.76616986974	6996.86898051633	2252.35034278427	2280.51451554732	2249.08411484451	2252.91280141838	2243.80942518516	2251.85052888256	7879.97074038483	7718.51969120751	2250.35344522081	7552.08654219475	7345.06681933262	7695.9100108729	2271.10844325614	2291.36452261612	2279.59143709573	2287.64331289973	2247.7280253629	2236.00228125749	7003.59313215581	7406.01539991149	2304.85914367638	7112.41743765122	7316.41006685439	7507.22665946535	2253.39056913275	2262.04065719064	2267.93513599148	2299.20812384953	2259.76971297403	2272.41774748853	7134.65822613397	7556.45002839511	2251.09425160434	7549.88060045499	7485.90475086655	7641.84342771227	2293.34267702084	2298.25309964485	2292.78787802065	2277.01325578114	2237.03553539511	2255.17996059704	6745.15788945939	7273.15621143885	2305.34527550886	7102.55330632989	7264.96401194481	7185.63151656911	2253.03002897937	2256.87147773416	2265.96160957392	2275.01515084079	2247.92174540165	2267.88178473711	7115.99045439096	7360.60986238107	2286.06749762964	7480.47093946223	7364.33348697072	7345.58721589731	2261.56987830424	2288.39419203262	2285.63131828459	2281.96327770304	2229.38495103306	2235.94794671393	6038.50682924353	6234.3991663691	2257.58663588224	6772.37269587246	6544.04082309405	6729.1433959143	2266.83707035853	2303.94416687554	2280.3743506035	2287.90769593023
	70.5	2255.01835887694	2253.20541351954	6549.65498214543	7178.67346213481	2257.10150716342	6487.74539913732	6496.25774840242	6707.53525509466	2261.57994661656	2305.46991466779	2291.6355132645	2267.46247724312	2240.56981927631	2239.79583660141	6997.73322515023	6910.71494031258	2224.37255754659	6614.97287185894	6901.37639671813	6900.56238972482	2250.96605349763	2279.31621228315	2248.53023383701	2252.28378755499	2242.95088606577	2250.552369223	7772.17789960919	7608.29717518274	2249.22147345069	7444.82469719593	7238.74658597585	7587.05201882168	2270.26302145426	2290.28327090927	2277.81628609069	2285.67822072198	2247.25614287829	2235.18952241138	6909.67374751523	7303.80457683181	2303.15864311586	7012.500058026	7209.24853572992	7396.01162260893	2251.87751772956	2260.67508437735	2266.78237504419	2297.89285669921	2258.8063237775	2271.46930149447	7038.90832407869	7449.13285811929	2249.78834954323	7441.64598447655	7379.84846756747	7531.87670954573	2292.22677701528	2297.19549062342	2291.30143243063	2275.52289051991	2235.64475038422	2254.23185055125	6655.51932514618	7172.10289668585	2304.1014448837	7003.55161345483	7170.32019936748	7084.66182757251	2251.19689272502	2255.20552272358	2264.27129520976	2273.89529008415	2247.13660428127	2266.18350050289	7020.66474212061	7264.55225604511	2284.82552337321	7378.2268617998	7264.92449615355	7251.0723380716	2260.75979915244	2287.02564053568	2283.6578794266	2280.55322781691	2228.72583635117	2234.93182895481	5960.8107820812	6150.9692173899	2256.65782990529	6685.80472383443	6457.45911396979	6636.20640049473	2265.88977021818	2302.8401224544	2279.48400337963	2286.76661446428
	71	2253.99330616886	2252.35692904527	6465.68525814088	7083.24855910786	2256.0784406544	6396.98505798543	6406.28499607073	6613.53020231213	2260.40031140086	2304.48277596153	2290.23660678873	2266.19011809918	2239.45201985923	2238.88662778126	6907.49244300215	6827.51618801354	2223.53880446843	6525.4898501563	6806.70030589193	6804.47812924158	2249.79437261514	2278.41094640617	2247.79695570605	2251.29032678142	2242.13785627776	2249.09004933035	7665.28452345321	7499.13920977683	2248.26791806728	7337.65729618473	7133.05418295401	7479.68898404324	2269.13728706844	2288.93539183561	2276.3635322473	2284.08704362334	2246.63580010766	2234.39388039884	6816.07221291877	7203.11531716464	2301.58042181757	6913.11308976066	7102.37011561638	7285.65049337078	2250.50773144096	2259.66401990884	2265.95258932206	2296.42600253621	2257.91783982574	2270.41973523821	6943.13844568199	7342.66580444009	2248.65518178953	7333.63398188243	7274.11938161899	7421.72595337775	2290.87358144775	2295.80028764161	2289.79583966455	2274.47376615578	2234.31208694367	2253.18944063631	6566.10974848185	7072.34883649906	2302.31716025671	6905.15012827829	7073.73191956733	6984.44119816142	2249.60211099695	2253.59924018638	2262.72523699392	2272.81671964701	2246.3418110347	2264.63579674893	6927.45268893942	7166.96548381983	2284.05838558962	7276.11538911626	7165.68807252656	7154.1144258899	2260.37993936036	2285.52128410758	2281.89761808165	2279.02114647223	2227.99133557175	2233.72369943023	5882.41785700339	6068.47477297835	2255.57644419081	6599.7688435211	6371.04959207917	6544.19005145169	2264.83087875083	2302.18671181799	2278.60664076441	2285.99266184596
