	Well	Fluor	Target	Content	Sample	Melt Temp
	A01	SYBR		Unkn		None
	A02	SYBR		Unkn		None
	A03	SYBR		Unkn		81
	A04	SYBR		Unkn		81
	A05	SYBR		Unkn		None
	A06	SYBR		Unkn		77.5
	A07	SYBR		Unkn		77.5
	A08	SYBR		Unkn		77.5
	A09	SYBR		Unkn		None
	A10	SYBR		Unkn		None
	A11	SYBR		Unkn		None
	A12	SYBR		Unkn		None
	B01	SYBR		Unkn		None
	B02	SYBR		Unkn		None
	B03	SYBR		Unkn		81
	B04	SYBR		Unkn		81
	B05	SYBR		Unkn		None
	B06	SYBR		Unkn		78
	B07	SYBR		Unkn		78
	B08	SYBR		Unkn		78
	B09	SYBR		Unkn		None
	B10	SYBR		Unkn		None
	B11	SYBR		Unkn		None
	B12	SYBR		Unkn		None
	C01	SYBR		Unkn		None
	C02	SYBR		Unkn		None
	C03	SYBR		Unkn		81
	C04	SYBR		Unkn		81
	C05	SYBR		Unkn		None
	C06	SYBR		Unkn		78
	C07	SYBR		Unkn		78
	C08	SYBR		Unkn		78
	C09	SYBR		Unkn		None
	C10	SYBR		Unkn		None
	C11	SYBR		Unkn		None
	C12	SYBR		Unkn		None
	D01	SYBR		Unkn		None
	D02	SYBR		Unkn		None
	D03	SYBR		Unkn		81
	D04	SYBR		Unkn		81
	D05	SYBR		Unkn		None
	D06	SYBR		Unkn		78
	D07	SYBR		Unkn		78
	D08	SYBR		Unkn		78
	D09	SYBR		Unkn		None
	D10	SYBR		Unkn		None
	D11	SYBR		Unkn		None
	D12	SYBR		Unkn		None
	E01	SYBR		Unkn		None
	E02	SYBR		Unkn		None
	E03	SYBR		Unkn		81
	E04	SYBR		Unkn		81
	E05	SYBR		Unkn		None
	E06	SYBR		Unkn		78
	E07	SYBR		Unkn		78
	E08	SYBR		Unkn		78
	E09	SYBR		Unkn		None
	E10	SYBR		Unkn		None
	E11	SYBR		Unkn		None
	E12	SYBR		Unkn		None
	F01	SYBR		Unkn		None
	F02	SYBR		Unkn		None
	F03	SYBR		Unkn		81
	F04	SYBR		Unkn		81
	F05	SYBR		Unkn		None
	F06	SYBR		Unkn		77.5
	F07	SYBR		Unkn		77.5
	F08	SYBR		Unkn		77.5
	F09	SYBR		Unkn		None
	F10	SYBR		Unkn		None
	F11	SYBR		Unkn		None
	F12	SYBR		Unkn		None
	G01	SYBR		Unkn		None
	G02	SYBR		Unkn		None
	G03	SYBR		Unkn		81
	G04	SYBR		Unkn		81
	G05	SYBR		Unkn		None
	G06	SYBR		Unkn		78.5
	G07	SYBR		Unkn		78.5
	G08	SYBR		Unkn		78.5
	G09	SYBR		Unkn		None
	G10	SYBR		Unkn		None
	G11	SYBR		Unkn		None
	G12	SYBR		Unkn		None
	H01	SYBR		Unkn		None
	H02	SYBR		Unkn		None
	H03	SYBR		Unkn		81
	H04	SYBR		Unkn		81
	H05	SYBR		Unkn		None
	H06	SYBR		Unkn		78.5
	H07	SYBR		Unkn		78.5
	H08	SYBR		Unkn		78.5
	H09	SYBR		Unkn		None
	H10	SYBR		Unkn		None
	H11	SYBR		Unkn		None
	H12	SYBR		Unkn		None
