	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A03	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A04	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A06	SYBR		Unkn			8.51297933051071	8.51297933051071	0	NaN	NaN	NaN	0	60	
	A07	SYBR		Unkn			8.02246196516045	8.02246196516045	0	NaN	NaN	NaN	0	60	
	A08	SYBR		Unkn			8.19560675302222	8.19560675302222	0	NaN	NaN	NaN	0	60	
	A09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	A12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B03	SYBR		Unkn			4.00762240575633	4.00762240575633	0	NaN	NaN	NaN	0	60	
	B04	SYBR		Unkn			4.08859126739835	4.08859126739835	0	NaN	NaN	NaN	0	60	
	B05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B06	SYBR		Unkn			6.31740953090853	6.31740953090853	0	NaN	NaN	NaN	0	60	
	B07	SYBR		Unkn			6.38204072393923	6.38204072393923	0	NaN	NaN	NaN	0	60	
	B08	SYBR		Unkn			6.76073457187794	6.76073457187794	0	NaN	NaN	NaN	0	60	
	B09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	B12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C03	SYBR		Unkn			8.59717401702514	8.59717401702514	0	NaN	NaN	NaN	0	60	
	C04	SYBR		Unkn			8.52883350135584	8.52883350135584	0	NaN	NaN	NaN	0	60	
	C05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C06	SYBR		Unkn			7.14587128240388	7.14587128240388	0	NaN	NaN	NaN	0	60	
	C07	SYBR		Unkn			7.07287124190562	7.07287124190562	0	NaN	NaN	NaN	0	60	
	C08	SYBR		Unkn			7.08560577676103	7.08560577676103	0	NaN	NaN	NaN	0	60	
	C09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	C12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	D01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	D02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	D03	SYBR		Unkn			12.5038897563458	12.5038897563458	0	NaN	NaN	NaN	0	60	
	D04	SYBR		Unkn			12.2290399629924	12.2290399629924	0	NaN	NaN	NaN	0	60	
	D05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	D06	SYBR		Unkn			6.4400515162787	6.4400515162787	0	NaN	NaN	NaN	0	60	
	D07	SYBR		Unkn			6.43548325525337	6.43548325525337	0	NaN	NaN	NaN	0	60	
	D08	SYBR		Unkn			6.52827153776854	6.52827153776854	0	NaN	NaN	NaN	0	60	
	D09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	D10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	D11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	D12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	E01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	E02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	E03	SYBR		Unkn			15.9715694908775	15.9715694908775	0	NaN	NaN	NaN	0	60	
	E04	SYBR		Unkn			15.6268940401065	15.6268940401065	0	NaN	NaN	NaN	0	60	
	E05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	E06	SYBR		Unkn			7.23116631845499	7.23116631845499	0	NaN	NaN	NaN	0	60	
	E07	SYBR		Unkn			6.97945490680228	6.97945490680228	0	NaN	NaN	NaN	0	60	
	E08	SYBR		Unkn			7.22934426491297	7.22934426491297	0	NaN	NaN	NaN	0	60	
	E09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	E10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	E11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	E12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	F01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	F02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	F03	SYBR		Unkn			19.564879265457	19.564879265457	0	NaN	NaN	NaN	0	60	
	F04	SYBR		Unkn			19.2870297778988	19.2870297778988	0	NaN	NaN	NaN	0	60	
	F05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	F06	SYBR		Unkn			7.52606546256719	7.52606546256719	0	NaN	NaN	NaN	0	60	
	F07	SYBR		Unkn			7.31016223066205	7.31016223066205	0	NaN	NaN	NaN	0	60	
	F08	SYBR		Unkn			7.14535812504891	7.14535812504891	0	NaN	NaN	NaN	0	60	
	F09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	F10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	F11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	F12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	G01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
