Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os01g01010.1,113,87,62,2,1,2,12,11,15
LOC_Os01g01019.1,11,8,13,25,17,2,2,2,4
LOC_Os01g01030.1,256,200,123,78,38,47,4,3,6
LOC_Os01g01040.3,246,164,87,182,136,63,10,15,28
LOC_Os01g01050.1,168,143,142,0,0,0,0,0,0
LOC_Os01g01060.1,1447,1632,1212,110,65,55,89,112,104
LOC_Os01g01070.1,48,32,37,8,4,3,41,46,28
LOC_Os01g01080.3,106,67,121,21,16,8,0,4,0
LOC_Os01g01090.1,1,5,0,1,1,0,2,0,0
LOC_Os01g01100.1,0,0,1,0,0,0,0,0,0
LOC_Os01g01110.1,0,0,0,2,1,0,0,0,0
LOC_Os01g01115.1,14,11,18,28,10,1,1,1,1
LOC_Os01g01120.1,50,53,51,28,11,6,10,7,13
LOC_Os01g01130.1,140,91,81,140,143,64,22,21,15
LOC_Os01g01150.2,914,771,624,11,9,47,157,197,171
LOC_Os01g01160.1,27,18,11,7,2,0,0,2,1
LOC_Os01g01170.1,37,32,38,18,5,6,3,3,3
LOC_Os01g01190.1,96,179,80,6,1,3,0,0,5
LOC_Os01g01200.1,0,0,0,1,0,1,3,4,11
LOC_Os01g01210.1,0,0,5,0,0,8,4,6,34
LOC_Os01g01240.1,0,0,0,2,1,5,0,1,5
LOC_Os01g01250.1,0,0,0,1,1,1,0,0,1
LOC_Os01g01260.1,0,0,0,14,8,22,0,4,3
LOC_Os01g01270.1,0,1,1,8,6,20,0,0,1
LOC_Os01g01280.1,15,14,13,31,29,39,1,0,6
LOC_Os01g01290.1,0,0,0,2,1,1,0,0,3
LOC_Os01g01295.1,78,61,52,10,7,4,9,16,6
LOC_Os01g01302.1,36,52,2,0,0,1,1,2,3
LOC_Os01g01307.1,496,376,368,70,50,87,19,25,23
LOC_Os01g01312.1,302,276,153,391,254,89,71,90,87
LOC_Os01g01330.1,9,15,13,176,150,133,11,19,28
LOC_Os01g01340.2,610,612,439,5639,5412,3789,279,288,414
LOC_Os01g01350.2,105,88,133,227,156,113,5,11,12
LOC_Os01g01360.1,6,2,3,2,0,0,0,0,0
LOC_Os01g01369.1,159,135,84,6,6,17,25,38,39
LOC_Os01g01380.1,16,28,45,14,4,24,0,1,0
LOC_Os01g01390.4,1051,775,571,42,16,14,1,4,3
LOC_Os01g01400.1,231,177,212,816,534,301,13,28,17
LOC_Os01g01410.1,350,308,293,1272,746,443,32,51,24
LOC_Os01g01420.2,154,138,93,299,263,246,309,348,503
LOC_Os01g01430.1,0,0,0,3,12,1,0,0,2
LOC_Os01g01450.1,133,133,112,234,170,408,1019,1254,939
LOC_Os01g01484.5,66,71,84,4,5,2,13,7,15
LOC_Os01g01510.2,371,325,447,12,3,1,9,11,11
LOC_Os01g01520.1,133,210,141,1,1,0,0,0,0
LOC_Os01g01550.1,0,1,0,0,0,0,0,0,0
LOC_Os01g01560.1,23,17,22,0,0,1,12,7,18
LOC_Os01g01570.1,216,215,289,3,0,3,13,7,24
LOC_Os01g01580.1,3,7,18,0,0,0,0,0,0
LOC_Os01g01590.1,0,0,1,0,0,0,0,0,0
LOC_Os01g01600.1,6,5,13,38,30,26,15,15,15
LOC_Os01g01610.1,3,6,0,33,18,37,71,49,55
LOC_Os01g01620.1,231,140,166,29,26,114,831,834,888
LOC_Os01g01640.1,104,101,61,214,120,79,29,43,38
LOC_Os01g01650.1,1,1,0,8,4,0,1,0,0
LOC_Os01g01660.1,45,41,31,0,3,0,0,0,0
LOC_Os01g01670.1,167,108,105,5,0,0,0,2,3
LOC_Os01g01680.1,0,2,0,0,0,0,0,0,0
LOC_Os01g01689.3,384,356,308,67,55,60,5,8,3
LOC_Os01g01700.1,390,293,173,272,200,130,139,143,106
LOC_Os01g01710.1,81,95,126,21,13,16,2,4,15
LOC_Os01g01720.1,149,144,173,137,99,33,10,3,8
LOC_Os01g01740.1,187,134,175,0,0,1,1,1,1
LOC_Os01g01760.1,0,2,0,0,0,0,0,0,0
LOC_Os01g01770.1,0,1,0,0,1,0,0,0,0
LOC_Os01g01780.1,53,35,28,6,15,10,20,17,12
LOC_Os01g01790.1,643,512,638,174,195,112,211,212,189
LOC_Os01g01800.2,117,73,97,131,134,43,33,30,47
LOC_Os01g01830.1,221,185,141,237,158,73,37,48,31
LOC_Os01g01870.1,39,47,87,0,0,0,1,0,0
LOC_Os01g01890.1,37,25,74,10,9,2,0,0,1
LOC_Os01g01900.1,0,0,0,10,18,52,0,1,0
LOC_Os01g01910.1,4,3,5,42,18,13,1,6,1
LOC_Os01g01920.1,235,286,181,1076,642,409,16,24,19
LOC_Os01g01925.1,0,0,0,5,3,0,0,0,0
LOC_Os01g01930.1,4,0,0,4,6,3,0,0,0
LOC_Os01g01940.1,3,4,6,32,13,6,1,0,0
LOC_Os01g01950.1,0,0,1,55,60,27,2,0,0
LOC_Os01g01960.1,1028,1093,642,13146,14565,8959,2347,2018,2611
LOC_Os01g01970.2,51,57,26,7,5,0,0,0,0
LOC_Os01g01990.1,0,0,0,0,0,1,24,15,12
LOC_Os01g02000.1,8,0,0,0,0,0,0,0,0
LOC_Os01g02010.1,2,0,0,0,0,0,0,0,0
LOC_Os01g02020.1,95,88,40,33,13,12,0,1,4
LOC_Os01g02040.1,545,381,285,6,2,0,4,1,3
LOC_Os01g02050.1,9,14,25,355,236,466,2680,3183,3475
LOC_Os01g02060.1,28,35,25,0,1,0,0,2,0
LOC_Os01g02070.1,1,6,0,1,0,0,0,0,0
LOC_Os01g02080.1,12,16,11,0,0,0,0,0,0
LOC_Os01g02090.1,664,673,499,915,732,487,480,450,479
LOC_Os01g02100.1,90,97,137,22,6,6,17,20,29
LOC_Os01g02120.1,0,0,0,1,0,0,0,0,0
LOC_Os01g02130.1,9,1,19,2,0,0,0,0,0
LOC_Os01g02139.1,8,4,0,0,0,0,0,0,0
LOC_Os01g02150.1,3,0,0,0,0,0,0,0,0
LOC_Os01g02160.1,5,0,0,0,0,0,0,0,0
LOC_Os01g02170.2,129,86,114,6,8,0,6,8,4
LOC_Os01g02180.1,252,191,217,40,12,6,13,16,3
LOC_Os01g02190.1,0,0,0,19,4,10,0,0,1
LOC_Os01g02200.1,28,21,14,51,47,12,25,33,16
LOC_Os01g02230.1,0,0,0,0,1,0,0,0,0
LOC_Os01g02280.1,0,1,0,0,0,0,0,0,0
LOC_Os01g02290.1,125,67,39,27,28,25,286,277,387
LOC_Os01g02300.1,113,85,64,57,45,72,614,637,754
LOC_Os01g02310.1,0,0,0,10,6,5,5,1,0
LOC_Os01g02320.1,149,128,61,171,102,89,180,178,179
LOC_Os01g02334.1,87,83,51,62,23,30,14,21,14
LOC_Os01g02350.1,80,82,62,22,18,2,9,11,4
LOC_Os01g02360.1,75,59,49,19,25,30,1,2,3
LOC_Os01g02370.1,0,0,0,1,1,0,0,0,1
LOC_Os01g02380.1,0,0,0,1,0,0,0,0,0
LOC_Os01g02390.1,72,105,108,8,0,1,26,30,29
LOC_Os01g02400.3,109,109,56,11,12,50,225,224,209
LOC_Os01g02410.1,0,0,0,0,1,0,0,0,0
LOC_Os01g02420.1,59,26,75,137,106,44,15,11,17
LOC_Os01g02430.1,88,65,50,152,232,55,16,32,15
LOC_Os01g02440.1,11,5,3,31,17,21,3,8,6
LOC_Os01g02450.1,4,2,1,20,14,11,0,1,1
LOC_Os01g02460.1,7,4,2,21,27,17,3,1,1
LOC_Os01g02470.1,1,0,0,0,0,0,0,0,0
