	20	21	22	23	24	25
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	73617	183672	152668	225971	1483221	120367
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	289176	1227014	564734	582669	2747698	212762
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	51200	116478	94850	106854	728584	107344
SRR5049780.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	35473	181212	90199	189150	1566642	177788
ddm1ab_control.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	225324	942119	564085	690276	3690916	280405
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	22727	85303	119865	261185	2263713	150282
SRR2544787.filtered.fastq.gz.sorted.bam.q20.siRNAs.sam	252546	829377	728470	503935	4698884	462267
SRR771501.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	232725	452842	691993	2580958	6993603	280192
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	3406	7176	9186	10066	104518	11130
Blendersperm6b_S177_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	10638	21508	27120	19537	119001	15966
GSM2048325_9522_S3_1_filtered.fasta.sorted.bam.q20.siRNAs.sam	8993	64682	60474	206234	2223418	76150
SRR771500.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	429437	1087899	510437	1356121	4115786	150196
GSM2048332_9522_S7_2_filtered.fasta.sorted.bam.q20.siRNAs.sam	8016	128648	42450	97696	1425406	46397
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	2536	5141	7195	8223	86471	9374
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	16270	60710	88606	190574	1699722	118095
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	3481	7144	10503	11422	117473	12806
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	30653	106613	150929	330233	2776210	188582
GSM2048333_9522_S7_3_filtered.fasta.sorted.bam.q20.siRNAs.sam	8602	120054	44613	140912	1421487	40190
GSM2048329_9522_S5_2_filtered.fasta.sorted.bam.q20.siRNAs.sam	6190	153215	38827	88944	1392274	45078
SRR5049779.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	24825	204711	65469	130625	1329687	144283
SRR5049787.1.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	70866	138336	91474	123611	495423	39885
SRR5049786.1.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	55987	114705	81959	133902	415151	36415
GSM2048331_9522_S7_1_filtered.fasta.sorted.bam.q20.siRNAs.sam	7687	119988	42521	128429	1420298	40022
Ovarynoegg2_S5_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	16751	46796	75787	125905	1387001	111032
SRR5049788.1.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	52251	100686	81643	126246	478396	40168
eggcell4_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	13380	28945	34828	44191	409611	50627
eggcell2_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	14921	25196	28296	37593	344484	40686
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	10327	18198	23296	17901	103651	15652
SRR2544788.filtered.fastq.gz.sorted.bam.q20.siRNAs.sam	188044	629386	582370	556523	4062833	398510
