	20	21	22	23	24	25
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	13403	24991	42236	30226	227276	24814
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	85950	241071	289616	542108	4209622	287761
SRR2544788.filtered.fastq.gz.sorted.bam.siRNAs.sam	825983	1952561	1649834	1351491	7678792	903161
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	99004	136405	177808	235530	2587907	248613
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	372182	517177	447499	520524	2251244	257918
GSM2048332_9522_S7_2_filtered.fasta.sorted.bam.siRNAs.sam	20725	213025	87494	184286	2388698	81590
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	11389	18638	24035	23300	189678	22715
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	28464	44521	60115	48467	277179	36329
sperm-5b_S28_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	20286	45642	76921	59516	604999	63410
SRR5049786.1.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	275599	357227	317556	358276	803847	109033
GSM2048325_9522_S3_1_filtered.fasta.sorted.bam.siRNAs.sam	25781	148613	134830	395312	3943882	137287
SRR5049779.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	113973	408795	218365	360199	2235730	364573
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	32550	98914	180180	138062	1457824	137991
GSM2048328_9522_S5_1_filtered.fasta.sorted.bam.siRNAs.sam	22547	243570	83118	166177	2433964	96068
SRR5713891.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	1947684	2871264	2342333	3417549	14863009	1127409
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	62864	172879	211811	394373	3149028	227212
SRR771500.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	840909	1707410	890274	2023071	5708499	266925
SRR5049778.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	89214	327791	162164	303007	1794263	302341
GSM2048326_9522_S3_2_filtered.fasta.sorted.bam.siRNAs.sam	29054	142435	129314	489273	3871718	134187
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	32596	56427	77262	57951	381750	45415
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	11445	19222	26709	26526	217629	26356
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	116098	306824	368611	693653	5187428	370192
Ovarynoegg2_S5_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	67463	106628	148563	211141	1972410	175551
seedling4_S3_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	83979	154556	177672	241379	1715471	145023
ddm1ab_control.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	2512259	5187738	3522587	3424688	9508255	2191083
eggcell2_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	48380	66837	72984	85225	536950	81958
SRR5049787.1.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	395448	487051	384512	382684	976416	117516
GSM2048331_9522_S7_1_filtered.fasta.sorted.bam.siRNAs.sam	23319	202333	94470	248506	2363043	76543
GSM2048329_9522_S5_2_filtered.fasta.sorted.bam.siRNAs.sam	17644	248815	86903	175178	2396402	81931
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	1171151	1634288	1861138	1895095	3784100	1705856
SRR5049788.1.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	216808	285715	237854	287709	846372	91262
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	23078	50933	86842	68049	678374	70889
SRR771501.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	587171	998197	1397955	4585298	11823876	506984
GSM2048327_9522_S3_3_filtered.fasta.sorted.bam.siRNAs.sam	30894	138131	126398	462061	3882677	144200
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	954039	1268519	1390265	1502304	3129435	1179892
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	283301	432871	426868	449658	1670171	406590
SRR5049780.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	186886	444434	348217	574518	2862356	521282
