	20	21	22	23	24	25
eggcell3_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.24.siRNAs.sam	0	0	0	0	170047	0
SRR2544786.2.fastq.gz.sorted.bam.siRNAs.sam	1282832	1893897	1639504	1303526	5173765	987861
Blendersperm6b_S177_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.21.siRNAs.sam	0	52855	0	0	0	0
sperm-5b_S28_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	16763	0	0	0	0
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	48114	0	0	0	0
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.24.siRNAs.sam	0	0	0	0	1670171	0
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	73617	183672	152668	225971	1483221	120367
eggcell2_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.24.siRNAs.sam	0	0	0	0	536950	0
SRR5049779.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	65469	0	0	0
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.22.siRNAs.sam	0	0	26709	0	0	0
ddm1ab_control.fastq.gz.trimmed.fastq.gz.sorted.bam.21.siRNAs.sam	0	5187738	0	0	0	0
GSM2048332_9522_S7_2_filtered.fasta.sorted.bam.q20.21.siRNAs.sam	0	128648	0	0	0	0
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	5141	0	0	0	0
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	289176	1227014	564734	582669	2747698	212762
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	1227014	0	0	0	0
SRR5049788.1.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	81643	0	0	0
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.24.siRNAs.sam	0	0	0	0	1433723	0
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	13403	24991	42236	30226	227276	24814
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	51200	116478	94850	106854	728584	107344
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.21.siRNAs.sam	0	5762170	0	0	0	0
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	85950	241071	289616	542108	4209622	287761
GSM2048333_9522_S7_3_filtered.fasta.sorted.bam.q20.24.siRNAs.sam	0	0	0	0	1421487	0
seedling4_S3_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.21.siRNAs.sam	0	154556	0	0	0	0
SRR5049788.1.fastq.gz.trimmed.fastq.gz.sorted.bam.24.siRNAs.sam	0	0	0	0	846372	0
Ovarynoegg2_S5_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	46796	0	0	0	0
GSM2048326_9522_S3_2_filtered.fasta.sorted.bam.q20.24.siRNAs.sam	0	0	0	0	2179484	0
Blendersperm6b_S177_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	27120	0	0	0
SRR2544786.2.fastq.gz.sorted.bam.q20.siRNAs.sam	155851	410801	382827	283173	2497730	237592
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.24.siRNAs.sam	0	0	0	0	227276	0
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	9416	0	0	0	0
eggcell4_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	28945	0	0	0	0
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	119865	0	0	0
SRR5049780.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.24.siRNAs.sam	0	0	0	0	1566642	0
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.21.siRNAs.sam	0	517177	0	0	0	0
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.21.siRNAs.sam	0	19222	0	0	0	0
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.21.siRNAs.sam	0	13553	0	0	0	0
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.21.siRNAs.sam	0	172879	0	0	0	0
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	99004	136405	177808	235530	2587907	248613
GSM2048328_9522_S5_1_filtered.fasta.sorted.bam.q20.21.siRNAs.sam	0	147687	0	0	0	0
eggcell3_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	14912	0	0	0
SRR5049780.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	35473	181212	90199	189150	1566642	177788
ddm1ab_control.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.siRNAs.sam	225324	942119	564085	690276	3690916	280405
SRR5049786.1.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	81959	0	0	0
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	564734	0	0	0
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.siRNAs.sam	22727	85303	119865	261185	2263713	150282
SRR5049778.fastq.gz.trimmed.fastq.gz.sorted.bam.q20.24.siRNAs.sam	0	0	0	0	1124836	0
eggcell2_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.24.siRNAs.sam	0	0	0	0	344484	0
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.siRNAs.sam	372182	517177	447499	520524	2251244	257918
seedling4_S3_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.24.siRNAs.sam	0	0	0	0	1715471	0
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.22.siRNAs.sam	0	0	73064	0	0	0
GSM2048331_9522_S7_1_filtered.fasta.sorted.bam.24.siRNAs.sam	0	0	0	0	2363043	0
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	22951	0	0	0	0
GSM2048325_9522_S3_1_filtered.fasta.sorted.bam.24.siRNAs.sam	0	0	0	0	3943882	0
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.22.siRNAs.sam	0	0	426868	0	0	0
eggcell2_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.q20.21.siRNAs.sam	0	25196	0	0	0	0
ddm1ab_control.fastq.gz.trimmed.fastq.gz.sorted.bam.22.siRNAs.sam	0	0	3522587	0	0	0
GSM2048332_9522_S7_2_filtered.fasta.sorted.bam.siRNAs.sam	20725	213025	87494	184286	2388698	81590
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.22.siRNAs.sam	0	0	60115	0	0	0
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.siRNAs.sam	11389	18638	24035	23300	189678	22715
GSM2048330_9522_S5_3_filtered.fasta.sorted.bam.q20.22.siRNAs.sam	0	0	39156	0	0	0
