	20	21	22	23	24	25
GSM2048329_9522_S5_2_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	32	333	306	207	2030	62
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	253	442	442	385	2129	137
SRR5049779.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	56	138	250	300	1671	211
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	11	28	61	59	678	49
GSM2048331_9522_S7_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	31	242	238	165	1219	45
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	6	25	60	40	535	52
GSM2048327_9522_S3_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	46	329	359	760	5009	151
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	3	61	201	354	1878	234
SRR2544786.2.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	691	1670	1748	871	9813	534
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	28	160	230	214	2508	187
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	96	498	593	420	2602	147
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	99	364	937	909	9906	713
GSM2048328_9522_S5_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	33	301	308	193	1964	60
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	109	244	365	327	2115	209
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	161	865	1073	730	4609	318
GSM2048325_9522_S3_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	76	405	489	656	5308	154
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	61	144	283	299	3555	291
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	127	690	816	630	3765	257
eggcell3_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.CentO.sam	4	7	16	9	144	4
