	20	21	22	23	24	25
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	9186	43221	45870	37175	255767	34113
SRR5049788.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	9767	19691	15748	22332	97692	5462
Ovarynoegg2_S5_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	2747	8213	15073	18794	211421	15584
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	2540	7547	12453	10531	93048	8309
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	9767	26989	27942	22310	221578	23854
eggcell4_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	2181	7793	11842	9258	97380	8928
GSM2048331_9522_S7_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	1627	8904	8722	21135	233474	6390
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	15332	38704	24636	32544	231900	16316
eggcell3_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	1278	3190	5155	4419	40874	4378
GSM2048329_9522_S5_2_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	1247	10507	10344	16391	277272	7850
GSM2048326_9522_S3_2_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	2488	14406	19162	46763	418590	12964
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	3046	7196	13847	10540	95642	9255
GSM2048330_9522_S5_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	1818	11403	10667	24318	257993	7122
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	1456	4686	9234	7147	74829	6608
SRR5049786.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	11072	21264	15664	24521	86190	4933
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	742	2580	4362	3473	44535	3932
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	2268	9056	17347	20846	304365	23353
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	16276	48809	60323	75328	540796	71274
SRR5049780.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	7127	24742	14867	27406	247762	25860
SRR5049787.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	15068	30348	17689	22410	109830	5640
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	122929	518198	369905	328340	1712469	89130
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	3231	8304	16009	13558	124912	11625
SRR2544786.2.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.Gypsy.sam	45689	191901	186604	62079	641072	50498
