	20	21	22	23	24	25
SRR5049787.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	5602	7156	6406	10166	48259	5859
GSM2048327_9522_S3_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	424	1495	1735	6122	56541	1930
eggcell2_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	1602	2494	3161	3803	46155	3921
GSM2048328_9522_S5_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	282	1677	1175	2392	38425	1240
SRR2544787.filtered.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	12450	24612	22857	17033	86320	12545
SRR5049779.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	1249	3052	2473	4653	37977	4808
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	6911	11445	11896	15322	95267	7938
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	1068	1744	2554	4100	28077	2421
ddm1ab_control.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	50736	139384	55520	48851	120572	29231
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	231	447	620	701	10928	857
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	20659	26840	29139	24866	43096	23711
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	755	1686	3071	2890	35945	3355
GSM2048329_9522_S5_2_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	248	1628	1225	2588	36986	1114
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	2006	3185	4439	6821	42677	3731
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	545	878	1045	812	3398	876
Blendersperm6b_S177_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	435	835	1110	767	3838	878
eggcell3_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	728	1203	1542	2252	23402	1838
