	20	21	22	23	24	25
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	314	856	1170	1951	14785	1912
GSM2048326_9522_S3_2_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	6924	42421	38457	180876	1406263	49299
SRR2544786.filtered.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	73196	231661	194021	145350	1311621	113434
GSM2048328_9522_S5_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	3911	45391	23180	56959	797578	33215
GSM2048325_9522_S3_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	6347	46282	40261	141187	1412245	50106
SRR771500.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	36351	66951	54220	146250	413749	17016
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	1204	3406	3682	3638	23231	2689
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	204116	606121	289488	362189	1896744	139341
Ovarynoegg2_S5_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	2854	8300	12778	27892	263677	22507
SRR5049787.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	17899	42099	26992	47264	197344	11302
SRR5049780.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	7664	38639	25025	100604	728439	81755
GSM2048331_9522_S7_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	3884	31960	20964	81764	720600	23121
GSM2048333_9522_S7_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	4279	32819	21547	87190	708326	22826
SRR5049789.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	11753	37530	20968	47574	254637	21195
seedling4_S3_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	11824	37220	53639	88023	780210	47156
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	974	2357	2913	3183	15775	2046
SRR5713891.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	196115	610912	489517	1053546	5701737	258426
SRR5049788.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	13108	26934	20800	40148	156008	10188
SRR771501.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	122454	227152	385213	1444768	3761234	151295
SRR5049778.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	3483	27259	9645	43339	332637	41872
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	10216	31472	25546	52259	404010	47230
GSM2048327_9522_S3_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	6739	41331	36601	169272	1396358	51972
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	25523	93706	131995	292556	2351959	147444
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	1937	7813	10838	26686	332123	29360
SRR5049779.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	4617	36826	13869	60494	485483	56513
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	132216	172186	124804	186046	1008382	176912
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	1814	7764	10443	26384	317625	28352
GSM2048329_9522_S5_2_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	3258	44677	24837	60380	787090	28039
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	990	2617	3041	2595	18376	2365
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	592	2118	3462	4443	41780	4450
eggcell4_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	1129	3467	3995	7691	51822	8061
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	19893	75481	106625	230776	1915109	118239
