	20	21	22	23	24	25
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	195	578	933	712	8125	833
SRR5713891.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	29950	49276	48877	47751	224145	15212
eggcell4_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	870	1899	2126	1680	9356	1793
SRR5049780.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	4959	17454	8313	11701	119985	10539
sperm-5b_S28_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	706	3077	6308	5018	99880	6151
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	243	807	1464	1066	14044	1221
SRR5049787.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	7291	15232	4762	4223	19387	1347
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	2172	6535	9287	9866	80596	5643
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	1049	3254	6758	4564	87949	3849
SRR5049779.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	2827	12063	5867	7795	122268	9435
GSM2048327_9522_S3_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	644	3295	3753	10078	98902	3071
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	775	3325	6977	5767	105754	6604
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	476	1831	3235	2481	53023	2318
eggcell3_combined.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	413	862	1236	850	4016	632
SRR5049786.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	4060	8360	3851	4304	15153	1088
SRR2544786.filtered.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	11997	35311	30459	12514	103090	9963
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	1644	5110	7358	7770	66294	4465
GSM2048333_9522_S7_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	586	4410	3439	6129	85704	1647
SRR5049778.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	2393	8009	5222	10437	108008	8656
SRR2544788.filtered.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	14761	50455	45149	21957	161063	14776
SRR771500.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	14321	28006	20811	50959	143050	5292
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	1057	3054	4761	3781	67449	3390
GSM2048328_9522_S5_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	466	3214	2566	3769	76692	2175
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	916	2748	4618	4002	65531	3140
GSM2048331_9522_S7_1_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	566	4517	3465	5447	84395	1575
SRR771501.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	11634	24244	33275	93629	254651	9848
SRR5049781.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	4920	16655	11419	6865	52031	6758
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	14212	23677	24804	16910	60961	17075
GSM2048329_9522_S5_2_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	423	3140	2609	3774	74161	1853
seedling4_S3_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	1516	3334	4169	3666	29353	2557
SRR2544787.filtered.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	20925	71719	56982	21760	195274	18541
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	1248	3872	5714	6063	53421	3611
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.dedup.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	1580	7916	16102	12710	208310	13541
GSM2048330_9522_S5_3_filtered.fasta.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	520	3338	2735	5549	67161	1601
SRR5049788.1.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	3254	6176	3420	3658	15178	1079
ddm1ab.fastq.gz.trimmed.fastq.gz.sorted.bam.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_specific.sam	63066	280037	107345	87422	385934	28676
